nominal,nominal,nominal,nominal,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,,,,,,,,
SouthPortlandcity,ME,5,71990,?,4,17.69,7,154.77,5576.19,,,,,,,,
Troycity,OH,?,?,?,8,39.04,12,121.99,3635.21,,,,,,,,
Melrosecity,MA,17,40115,?,2,7.31,0,73.07,1633.06,,,,,,,,
Berlintown,CT,3,4300,?,0,0,0,65.46,2475.6,,,,,,,,
Fergusoncity,MO,?,?,?,10,43.89,4,535.49,5174.91,,,,,,,,
Paradisetown,CA,?,?,?,0,0,6,252.63,2869.42,,,,,,,,
Greenvillecity,SC,?,?,0,38,63.38,26,1756.32,8930.03,,,,,,,,
Pullmancity,WA,?,?,?,6,26.01,2,212.45,1634.58,,,,,,,,
Dickinsoncity,ND,89,19620,?,1,6.15,0,36.89,2391.49,,,,,,,,
Nilescity,MI,21,57760,?,?,?,5,?,6876.35,,,,,,,,
AgouraHillscity,CA,?,?,?,2,7.85,2,368.76,2032.09,,,,,,,,
Greenvillecity,TX,?,?,?,27,117.11,22,1439.97,8245.14,,,,,,,,
Burlingamecity,CA,?,?,?,4,14.4,9,273.51,4322.17,,,,,,,,
Middletoncity,WI,25,51575,?,0,0,0,75.52,3295.57,,,,,,,,
Branfordtown,CT,9,7310,?,2,7.16,0,71.56,1703.16,,,,,,,,
Haddontownship,NJ,7,28740,?,0,0,8,310.48,4482.54,,,,,,,,
Burkburnettcity,TX,?,?,?,1,9.54,13,152.6,2784.93,,,,,,,,
Harrisburgcity,PA,43,32800,10,67,123.32,22,2105.73,7093.95,,,,,,,,
Roycity,UT,?,?,?,6,21.44,0,368.05,3541.18,,,,,,,,
Buffalocity,NY,29,11000,5,295,94.43,434,1933.77,8407.3,,,,,,,,
Albanycity,GA,?,?,10,55,66.47,2,1363.32,9960.24,,,,,,,,
Lancastercity,TX,?,?,?,11,45.96,29,480.51,5214.56,,,,,,,,
CapeCoralcity,FL,?,?,?,12,13.91,7,303.72,4529.07,,,,,,,,
Lodiborough,NJ,3,41100,?,1,4.4,1,206.88,3913.02,,,,,,,,
Detroitcity,MI,163,22000,5,?,?,1219,?,9544.8,,,,,,,,
Sarasotacity,FL,?,?,0,47,85.08,24,1846.45,10816.24,,,,,,,,
BrooklynParkcity,MN,53,7966,?,?,?,17,?,4379.92,,,,,,,,
Dothancity,AL,?,?,?,33,58.68,?,1257.09,?,,,,,,,,
Visaliacity,CA,?,?,?,24,28.07,13,776.61,6940.35,,,,,,,,
Highlandtown,IN,?,?,?,2,8.77,4,319.99,4436.07,,,,,,,,
DelrayBeachcity,FL,?,?,?,28,54.05,13,1399.48,11091.59,,,,,,,,
Oxfordtown,MA,27,51825,?,0,0,3,442.24,1921.46,,,,,,,,
Andrewscity,TX,?,?,?,0,0,0,173.77,2999.82,,,,,,,,
Seguincity,TX,?,?,?,14,69.17,2,765.85,5850.09,,,,,,,,
UniversalCitycity,TX,?,?,?,1,7.2,2,?,3879.65,,,,,,,,
SierraVistacity,AZ,?,?,?,4,10.1,8,111.07,3115.14,,,,,,,,
MyrtleBeachcity,SC,?,?,?,31,110.26,0,1454.74,16628.13,,,,,,,,
Hawthornecity,CA,?,?,5,57,75.29,81,2541.38,6879.15,,,,,,,,
Savannahcity,GA,?,?,0,89,62.02,43,987.42,7902.86,,,,,,,,
Pennsvilletownship,NJ,33,57870,?,1,7.08,2,92.08,2075.36,,,,,,,,
Melvindalecity,MI,163,52940,?,?,?,5,?,6622.58,,,,,,,,
EdenPrairiecity,MN,53,18116,?,?,?,13,?,3481.98,,,,,,,,
Greenvillecity,NC,?,?,?,52,103.59,8,1577.75,9695.61,,,,,,,,
KeyWestcity,FL,?,?,?,20,79.79,3,1523.92,13751.15,,,,,,,,
SanJacintocity,CA,?,?,?,7,33.62,0,619.51,3424.1,,,,,,,,
Greenwichtown,CT,1,33620,0,0,0,6,52.25,2326.01,,,,,,,,
Sacramentocity,CA,?,?,5,167,44.43,164,1290.43,9258.87,,,,,,,,
Lakelandcity,FL,?,?,10,45,62.2,15,1523.3,13032.36,,,,,,,,
Scrantoncity,PA,69,69000,0,26,32.46,25,288.4,3274.74,,,,,,,,
Centertownship,PA,7,12016,?,0,0,0,73.23,421.09,,,,,,,,
Joplincity,MO,?,?,?,25,57.78,23,524.67,6233.68,,,,,,,,
Sparkscity,NV,?,?,?,45,71.14,?,491.66,?,,,,,,,,
Colliervilletown,TN,?,?,?,1,5.04,1,80.61,2377.95,,,,,,,,
CityofOrangetownship,NJ,13,13045,?,29,95.34,24,2594.03,9360.21,,,,,,,,
SouthGatecity,CA,?,?,?,27,29.23,28,1097.77,4261.17,,,,,,,,
FortWorthcity,TX,?,?,?,507,110.14,419,1516.12,9393.66,,,,,,,,
Slidellcity,LA,?,?,?,1,3.35,0,951.3,8119.51,,,,,,,,
Scottsborocity,AL,?,?,?,2,13.58,?,373.54,?,,,,,,,,
Yanktoncity,SD,135,73060,?,4,29.08,3,189.01,3518.46,,,,,,,,
Miramarcity,FL,?,?,?,10,20.53,13,743.07,5412.89,,,,,,,,
Oceantownship,NJ,25,54270,?,1,3.81,8,228.86,4519.97,,,,,,,,
Harvardtown,MA,27,28950,?,0,0,0,7.79,116.79,,,,,,,,
Okmulgeecity,OK,?,?,?,7,51.25,7,995.75,6252.75,,,,,,,,
NewportBeachcity,CA,?,?,10,25,35.2,40,387.2,4864.62,,,,,,,,
Martinezcity,CA,?,?,?,13,39.57,3,328.75,4069.77,,,,,,,,
Prattvillecity,AL,?,?,?,6,24.68,3,1205.17,4972.85,,,,,,,,
Montclairtownship,NJ,13,47500,0,7,18.28,5,509.18,6256.36,,,,,,,,
Hollandcity,MI,139,38640,?,?,?,8,?,5306.57,,,,,,,,
UpperArlingtoncity,OH,49,79002,?,11,30.35,8,140.72,2579.88,,,,,,,,
Hopkinsvillecity,KY,?,?,?,18,57.74,17,878.94,4994.55,,,,,,,,
Glendoracity,CA,?,?,?,13,24.9,7,294.92,3347.5,,,,,,,,
GreenRivercity,WY,?,?,?,2,14.77,5,155.04,3521.59,,,,,,,,
Sumptertownship,MI,163,77360,?,?,?,4,?,3038.43,,,,,,,,
Bellinghamtown,MA,21,4930,?,4,26.1,22,202.31,1461.85,,,,,,,,
FortDodgecity,IA,187,91370,?,2,7.87,?,720.05,?,,,,,,,,
MountOlivetownship,NJ,27,49080,?,8,36.29,7,185.97,1560.37,,,,,,,,
Hanoverborough,PA,133,32448,?,0,0,10,133.68,4398.1,,,,,,,,
Nicevillecity,FL,?,?,?,1,8.3,1,190.95,1992.53,,,,,,,,
Westlakecity,OH,35,83622,?,2,6.56,1,62.29,1331.02,,,,,,,,
Palatkacity,FL,?,?,?,26,233.58,10,2650.26,16233.94,,,,,,,,
Glendalecity,WI,79,29400,?,3,22.54,2,405.71,7505.63,,,,,,,,
Massilloncity,OH,151,48244,?,11,35,0,264.07,4088.32,,,,,,,,
Wenatcheecity,WA,?,?,?,20,84.41,7,485.38,8352.68,,,,,,,,
Roxburytownship,NJ,27,64980,?,3,14.18,3,103.96,1960.97,,,,,,,,
Artesiacity,CA,?,?,?,3,19.15,9,1640.6,4857.96,,,,,,,,
Cudahycity,WI,79,17975,?,4,21.73,1,217.26,3590.24,,,,,,,,
Urbanacity,OH,?,?,?,8,67.74,2,279.45,4293.34,,,,,,,,
Burlingtoncity,NC,?,?,?,17,38.14,11,567.54,5334.47,,,,,,,,
Hendersoncity,NV,?,?,?,75,70.02,33,269.82,2762.66,,,,,,,,
Champlincity,MN,53,10846,?,?,?,5,?,2607.86,,,,,,,,
Highlandcity,CA,?,?,?,14,35.52,12,880.44,5158.33,,,,,,,,
Hyattsvillecity,MD,?,?,?,3,20.5,?,703.74,?,,,,,,,,
SouthBendcity,IN,?,?,5,104,98.09,62,1093.15,8755.56,,,,,,,,
Stuartcity,FL,?,?,?,11,86.07,7,1095.46,8356.81,,,,,,,,
LighthousePointcity,FL,?,?,?,0,0,0,178.57,3890.98,,,,,,,,
Southgatecity,MI,163,74960,?,?,?,14,?,5090.9,,,,,,,,
Orangetown,CT,9,57600,?,0,0,4,138.57,6497.31,,,,,,,,
Moorestowntownship,NJ,5,47880,?,4,24.25,4,181.86,2837.05,,,,,,,,
Rialtocity,CA,?,?,?,26,30.97,36,1380.76,4782.04,,,,,,,,
Gastoniacity,NC,?,?,?,25,41.57,32,1486.61,8773.3,,,,,,,,
Irvingtontownship,NJ,13,34450,0,60,96.87,33,2423.47,9811.74,,,,,,,,
Hobokencity,NJ,17,32250,0,4,11.93,1,772.3,7242.96,,,,,,,,
Harlingencity,TX,?,?,?,3,5.3,10,758.39,8050.63,,,,,,,,
ColonialHeightscity,VA,570,18448,?,6,36.12,1,234.77,5116.78,,,,,,,,
Oneidacity,NY,53,54837,?,2,17.88,?,116.21,?,,,,,,,,
Charlottesvilledistrict,VA,3,90672,?,28,68.01,15,699.49,6028.22,,,,,,,,
Clarksvilletown,IN,?,?,?,10,45.92,2,225.01,7833.95,,,,,,,,
Clintontown,MA,27,14395,?,5,36.3,1,500.94,1989.26,,,,,,,,
Chesterfieldcity,MO,?,?,?,4,9.95,6,106.93,2511.63,,,,,,,,
Sayrevilleborough,NJ,23,65790,?,5,13.66,6,284.21,2828.41,,,,,,,,
Genevacity,NY,69,28640,?,2,14.04,?,667.04,?,,,,,,,,
RoanokeRapidscity,NC,?,?,?,1,5.93,2,634.79,7937.83,,,,,,,,
Dumascity,TX,?,?,?,0,0,0,?,?,,,,,,,,
Winchestertown,MA,17,80510,?,2,9.52,0,52.35,1380.23,,,,,,,,
WisconsinRapidscity,WI,141,88200,?,1,5.41,2,264.97,5531.82,,,,,,,,
Longviewcity,WA,?,?,?,15,45.12,?,339.92,?,,,,,,,,
Bellmawrborough,NJ,7,4750,?,1,8.1,4,81.02,1531.36,,,,,,,,
ParadiseValleytown,AZ,?,?,?,1,7.01,0,140.18,4247.56,,,,,,,,
Lodicity,CA,?,?,?,29,55.04,15,1195.76,6305.28,,,,,,,,
Troycity,AL,?,?,?,0,0,1,63.81,453.77,,,,,,,,
Stoughtontown,MA,21,67945,?,7,25.38,2,264.67,2472.72,,,,,,,,
Holmdeltownship,NJ,25,32640,?,2,16.58,2,99.47,2138.59,,,,,,,,
NorthPlainfieldborough,NJ,35,53280,?,2,10.32,4,443.73,5737.58,,,,,,,,
Beltoncity,MO,?,?,?,10,47.91,3,201.24,3085.62,,,,,,,,
Warrensburgcity,MO,?,?,?,9,53.62,2,208.53,2818.16,,,,,,,,
Richmondcity,IN,?,?,?,12,30.65,69,168.57,4627.88,,,,,,,,
Merrillvilletown,IN,?,?,?,2,7.17,2,426.57,4262.11,,,,,,,,
Yeadonborough,PA,45,86968,?,0,0,5,354.96,4424.63,,,,,,,,
BellefontaineNeighborscity,MO,?,?,?,0,0,0,339.73,4416.49,,,,,,,,
Stoningtontown,CT,11,73770,?,0,0,1,47.5,2707.68,,,,,,,,
SanFranciscocity,CA,?,?,5,361,48.89,488,1810.07,7754.23,,,,,,,,
Covinacity,CA,?,?,?,18,40.12,22,686.47,5304.57,,,,,,,,
Corvalliscity,OR,?,?,?,18,38.24,26,220.96,4890.8,,,,,,,,
SantaFeSpringscity,CA,?,?,?,13,79.42,7,2089.32,12658.07,,,,,,,,
Farmingtoncity,MI,125,27380,?,?,?,3,?,4002.71,,,,,,,,
Winslowtownship,NJ,7,81740,?,6,19.14,11,494.37,2730.2,,,,,,,,
Meridentown,CT,9,46520,10,5,8.78,9,332,4526.77,,,,,,,,
SantaMonicacity,CA,?,?,5,49,56.01,137,1651.73,10954,,,,,,,,
Simsburytown,CT,3,68940,?,0,0,4,9.07,1324.5,,,,,,,,
Biddefordcity,ME,31,4860,?,12,58.73,30,161.51,5594.17,,,,,,,,
Oconomowoccity,WI,133,59250,?,0,0,1,168.48,2822,,,,,,,,
PalmBaycity,FL,?,?,?,22,28.84,8,602.99,4846.24,,,,,,,,
Greshamcity,OR,?,?,?,52,65,29,342.53,4705.35,,,,,,,,
Eriecity,PA,49,24000,0,59,54.34,63,770.88,4328.73,,,,,,,,
Provocity,UT,?,?,?,36,39.77,10,157.99,3935.3,,,,,,,,
Lewistoncity,ME,1,38740,?,7,18.71,20,374.18,6406.52,,,,,,,,
GrandRapidscity,MI,81,34000,10,?,?,79,?,6864.2,,,,,,,,
VanWertcity,OH,?,?,?,16,138.7,9,468.1,4776.35,,,,,,,,
NortonShorescity,MI,121,59140,?,?,?,3,?,3168.95,,,,,,,,
Ithacacity,NY,109,38077,?,12,41.11,3,352.88,7276.96,,,,,,,,
Jacksonvillecity,NC,?,?,?,25,43.02,8,533.46,5551.44,,,,,,,,
Vermilioncity,OH,?,?,?,3,26.28,0,70.08,2531.53,,,,,,,,
PembrokePinescity,FL,?,?,?,11,13.29,11,305.77,5248.85,,,,,,,,
Westervillecity,OH,49,83342,?,12,34.3,17,122.91,3126.97,,,,,,,,
NorthAdamscity,MA,3,46225,?,2,12.85,0,571.65,3706.08,,,,,,,,
Wallingtonborough,NJ,3,76490,?,0,0,4,47.43,2921.92,,,,,,,,
Mequoncity,WI,89,51150,?,0,0,2,9.24,1223.96,,,,,,,,
Cumberlandcity,MD,?,?,?,5,20.77,0,1121.64,5014.12,,,,,,,,
CottageGrovecity,MN,163,13456,?,3,11.08,1,195.71,2802.7,,,,,,,,
Berkeleycity,MO,?,?,?,5,39.05,4,851.23,5138.62,,,,,,,,
Kingstoncity,NY,111,39727,?,10,42.78,?,333.66,?,,,,,,,,
Denvercity,CO,?,?,5,393,77.69,440,1038.27,6915.98,,,,,,,,
GalenaParkcity,TX,?,?,?,2,19.2,1,499.33,2669.48,,,,,,,,
Leicestertown,MA,27,34795,?,0,0,0,310.85,1318.76,,,,,,,,
Moorecity,OK,?,?,?,24,56,8,331.36,3903.95,,,,,,,,
Alamedacity,CA,?,?,?,26,32.88,46,599.49,5782.44,,,,,,,,
BeaverDamcity,WI,27,5900,?,4,26.77,1,260.97,5366.7,,,,,,,,
Wallingfordtown,CT,9,78740,?,5,12.1,13,87.1,2893.5,,,,,,,,
Fairfieldcity,OH,?,?,?,8,19.48,9,477.21,4535.94,,,,,,,,
Millbraecity,CA,?,?,?,4,19.07,3,290.85,2550.9,,,,,,,,
BossierCitycity,LA,?,?,5,21,38.35,18,1073.8,6101.28,,,,,,,,
Brainerdcity,MN,35,7300,?,?,?,3,?,7430.45,,,,,,,,
Lancastercity,PA,71,41216,0,45,77.83,30,875.19,6934.07,,,,,,,,
LakeCharlescity,LA,?,?,0,30,41.17,14,889.17,5763.14,,,,,,,,
Ashlandtown,MA,17,2130,?,0,0,0,351.8,775.57,,,,,,,,
Richlandtownship,PA,21,64544,?,4,28.22,3,536.23,2173.15,,,,,,,,
Arcadiacity,CA,?,?,?,4,7.86,21,398.76,4482.6,,,,,,,,
Miltontown,MA,21,41690,?,3,11.32,0,200.02,1377.51,,,,,,,,
Wilsoncity,NC,?,?,?,19,48.06,15,1449.39,10937.42,,,,,,,,
HighlandParkcity,IL,?,?,?,?,?,1,?,1655.37,,,,,,,,
Indiocity,CA,?,?,?,31,78.18,10,950.75,7159.61,,,,,,,,
Frederickcity,MD,?,?,?,30,63.88,19,1239.22,4682.21,,,,,,,,
MercerIslandcity,WA,?,?,?,3,14.09,7,103.33,2014.94,,,,,,,,
ForestParkcity,OH,61,27706,?,10,52.71,9,326.81,5998.63,,,,,,,,
Logancity,UT,?,?,?,9,24.4,1,89.45,3588.95,,,,,,,,
RockvilleCentrevillage,NY,?,?,?,1,4,?,187.87,?,,,,,,,,
Mankatocity,MN,13,39878,?,?,?,3,?,6946.59,,,,,,,,
NewportNewscity,VA,700,56000,10,103,56.93,63,845.63,5590.56,,,,,,,,
AlexanderCitycity,AL,?,?,?,1,6.57,0,341.75,900.37,,,,,,,,
Cranfordtownship,NJ,39,15640,?,2,8.61,1,103.35,2381.26,,,,,,,,
Banningcity,CA,?,?,?,8,33.94,89,895.24,5965.46,,,,,,,,
LosBanoscity,CA,?,?,?,4,22.19,0,1647.53,6002.11,,,,,,,,
Glasgowcity,KY,?,?,?,0,0,0,62.14,675.73,,,,,,,,
Laurinburgcity,NC,?,?,?,8,59.96,14,936.82,8086.64,,,,,,,,
Portalescity,NM,?,?,?,5,39.97,0,295.76,3469.22,,,,,,,,
Romuluscity,MI,163,69420,?,?,?,11,?,8234.94,,,,,,,,
Beniciacity,CA,?,?,?,8,29.45,6,261.4,3700.16,,,,,,,,
Medfordtownship,NJ,5,45120,?,3,14.28,3,114.23,1975.16,,,,,,,,
MineralWellscity,TX,?,?,?,11,73.71,25,683.46,4670.33,,,,,,,,
Alhambracity,CA,?,?,?,19,22.4,33,544.59,4062,,,,,,,,
NewAlbanycity,IN,?,?,?,14,36.6,35,1280.84,4561.38,,,,,,,,
Annapoliscity,MD,?,?,?,26,73.4,75,1428.53,6575.2,,,,,,,,
Whitewatercity,WI,127,86925,?,8,58.06,3,137.89,2590.9,,,,,,,,
Greercity,SC,?,?,?,3,24.93,0,1329.57,5675.59,,,,,,,,
Millburntownship,NJ,13,46380,?,1,5.29,0,116.35,3601.46,,,,,,,,
Warwickcity,RI,3,74300,0,17,19.83,48,423.52,4252.66,,,,,,,,
Pepperelltown,MA,17,52805,?,0,0,0,210.18,1719.69,,,,,,,,
EastBrunswicktownship,NJ,23,19000,0,11,24.24,7,152.07,3321.36,,,,,,,,
FortSmithcity,AR,?,?,?,66,87.51,23,690.79,7070.97,,,,,,,,
Bostoncity,MA,25,7000,5,480,87.16,?,1968.89,?,,,,,,,,
SouthMilwaukeecity,WI,79,75125,?,5,24.55,18,122.74,4217.19,,,,,,,,
Glastonburytown,CT,3,31240,?,4,14.32,1,53.7,1908.07,,,,,,,,
Midvalecity,UT,?,?,?,8,64.75,5,493.73,9307.97,,,,,,,,
Bloomingtoncity,IN,?,?,?,20,31.69,5,815.98,3669.55,,,,,,,,
MountainViewcity,CA,?,?,?,10,15.12,21,411.23,6018.78,,,,,,,,
Allencity,TX,?,?,?,7,25.27,3,?,2480.23,,,,,,,,
Madisoncity,WI,25,48000,10,99,50.47,56,321.68,5118.88,,,,,,,,
Athenscity,TX,?,?,?,2,17.7,1,1300.88,4699.12,,,,,,,,
LincolnParkcity,MI,163,47800,?,?,?,14,?,5030.12,,,,,,,,
Somersworthcity,NH,17,69940,?,4,35.61,4,80.12,3071.31,,,,,,,,
Ypsilanticity,MI,161,89140,?,?,?,22,?,5906.14,,,,,,,,
HazelCrestvillage,IL,?,?,?,?,?,0,?,4261.51,,,,,,,,
Braintreetown,MA,21,7665,?,2,5.74,5,421.75,3534.64,,,,,,,,
Dovercity,OH,157,22456,?,1,8.29,0,66.33,3523.75,,,,,,,,
CollegeParkcity,GA,?,?,?,27,117.73,0,1874.95,14131.86,,,,,,,,
Elizabethcity,NJ,39,21000,10,42,39.31,23,1311.2,7568.62,,,,,,,,
Smyrnatown,TN,?,?,?,7,40.88,5,292,3071.89,,,,,,,,
Clarksvillecity,TN,?,?,?,87,92.99,0,1130.86,3814.79,,,,,,,,
Ramseycity,MN,3,53026,?,?,?,2,?,2833.17,,,,,,,,
Patersoncity,NJ,31,57000,0,78,56.11,113,1571.14,6672.33,,,,,,,,
Dovercity,DE,?,?,?,36,123.33,11,887.29,7276.46,,,,,,,,
Ankenycity,IA,?,?,?,2,9.39,?,65.71,?,,,,,,,,
SomersPointcity,NJ,1,68430,?,3,25.97,1,207.79,2839.83,,,,,,,,
Orindacity,CA,?,?,?,1,5.71,2,51.42,2205.46,,,,,,,,
Sheffieldcity,AL,?,?,?,2,19.31,1,241.31,4662.16,,,,,,,,
Fontanacity,CA,?,?,?,79,75.77,42,1333.23,4883.08,,,,,,,,
Sunnysidecity,WA,?,?,?,11,84.5,5,944.85,11622.37,,,,,,,,
SpanishForkcity,UT,?,?,?,4,28.93,1,108.49,3681.47,,,,,,,,
AuburnHillscity,MI,125,4105,?,?,?,5,?,5224.08,,,,,,,,
Douglascity,GA,?,?,?,3,25.61,4,1724.14,12666.44,,,,,,,,
Germantownvillage,WI,131,28875,?,4,24.45,10,61.12,2573.19,,,,,,,,
Irmotown,SC,?,?,?,2,15.59,0,179.32,2541.71,,,,,,,,
Mitchellcity,SD,35,43100,?,11,78.1,4,198.79,4195.95,,,,,,,,
AppleValleycity,MN,37,1900,?,?,?,17,?,3072.56,,,,,,,,
Roseburgcity,OR,?,?,?,12,66.79,15,322.81,7446.99,,,,,,,,
Crestwoodcity,MO,?,?,?,1,8.88,4,124.32,5834.3,,,,,,,,
HasbrouckHeightsborough,NJ,3,30420,?,1,8.49,1,84.88,3140.65,,,,,,,,
LaGrandecity,OR,?,?,?,7,54.14,3,170.15,3480.28,,,,,,,,
Kaukaunacity,WI,87,38800,?,0,0,0,74.96,2657,,,,,,,,
Bellevuecity,WA,?,?,10,32,37.37,41,223.06,5492.49,,,,,,,,
RiverFallscity,WI,?,?,?,0,0,3,103.33,5967.45,,,,,,,,
Milwaukiecity,OR,?,?,?,11,52.95,5,245.51,4178.5,,,,,,,,
Clemsoncity,SC,?,?,?,5,44.87,0,358.97,4549.94,,,,,,,,
Marlboroughcity,MA,17,38715,?,3,8.97,1,505.1,1736.45,,,,,,,,
Greenbeltcity,MD,?,?,?,13,62.32,?,551.32,?,,,,,,,,
Stantoncity,CA,?,?,?,9,29.71,34,997.03,6857.05,,,,,,,,
Florencetownship,NJ,5,23850,?,1,9.52,1,295.04,2217.57,,,,,,,,
Harrisonburgcity,VA,660,35624,?,7,20.83,9,151.78,4264.75,,,,,,,,
Trumbulltown,CT,1,77200,?,2,6.15,0,64.61,4335.25,,,,,,,,
BatonRougecity,LA,?,?,5,177,77.28,158,2978.69,13039.07,,,,,,,,
RollingMeadowscity,IL,?,?,?,?,?,3,?,3842.47,,,,,,,,
Watertowncity,SD,29,69300,?,9,49.3,2,158.85,4015.12,,,,,,,,
Springfieldcity,TN,?,?,?,7,49.15,0,1390.25,6593.18,,,,,,,,
Marquettecity,MI,103,51900,?,?,?,2,?,3293.16,,,,,,,,
Miamitownship,OH,25,49322,?,12,51.82,7,133.87,2996.93,,,,,,,,
CentralFallscity,RI,7,14140,?,8,52.97,0,1483.15,5038.73,,,,,,,,
Reedleycity,CA,?,?,?,8,47.15,3,724.94,5216.01,,,,,,,,
HotSpringscity,AR,?,?,?,25,69.26,15,872.72,11109.88,,,,,,,,
MapleShadetownship,NJ,5,43740,?,3,15.26,16,300.04,3951.38,,,,,,,,
Huntsvillecity,TX,?,?,?,19,64.32,1,744.75,3930.26,,,,,,,,
Vidorcity,TX,?,?,?,0,0,3,267.96,4295.96,,,,,,,,
Marshallcity,MN,83,40688,?,?,?,2,?,3194.08,,,,,,,,
Hobbscity,NM,?,?,?,19,62.77,3,1318.22,7522.8,,,,,,,,
SanMarinocity,CA,?,?,?,0,0,4,198.88,1996.17,,,,,,,,
Auburncity,ME,1,2060,?,3,12.83,3,72.71,2993.76,,,,,,,,
Salemcity,VA,775,70000,?,2,8.18,9,102.2,2959.81,,,,,,,,
FortMadisoncity,IA,?,?,?,3,24.08,?,88.3,?,,,,,,,,
Inglewoodcity,CA,?,?,5,68,61.46,60,2078.85,5569.51,,,,,,,,
Crawfordsvillecity,IN,?,?,?,1,6.95,6,62.53,5822.68,,,,,,,,
Nilescity,OH,?,?,?,1,4.64,0,427.27,4230.91,,,,,,,,
SouthPasadenacity,CA,?,?,?,4,16.02,47,348.5,3633.23,,,,,,,,
Kinstoncity,NC,?,?,?,20,77.9,21,1336.03,10571.42,,,,,,,,
GreenBaycity,WI,9,31000,10,62,59.88,9,435.6,4114.51,,,,,,,,
Ellensburgcity,WA,?,?,?,1,7.29,1,196.79,4810.5,,,,,,,,
Tulsacity,OK,?,?,5,339,89.88,249,1304.78,6544.31,,,,,,,,
Piscatawaytownship,NJ,23,58980,?,8,16.31,3,313.89,2631.36,,,,,,,,
Everettcity,MA,17,21990,?,9,26.22,0,1678.08,4253.46,,,,,,,,
Hudsontown,MA,17,31540,?,2,11.19,0,151.13,1354.53,,,,,,,,
PortOrangecity,FL,?,?,?,3,7.48,1,184.39,2554.01,,,,,,,,
Herndontown,VA,?,?,?,3,16.65,2,127.65,3446.55,,,,,,,,
Gillettecity,WY,?,?,?,4,21.14,18,375.3,5079.82,,,,,,,,
Manchestercity,NH,11,45140,0,33,33.62,28,223.14,5388.97,,,,,,,,
BethelParkborough,PA,3,6064,?,3,8.74,2,58.24,1243.34,,,,,,,,
Aberdeentown,MD,?,?,?,12,88.53,4,1032.91,5267.82,,,,,,,,
Amesburytown,MA,9,1185,?,0,0,0,566.68,2172.27,,,,,,,,
PoplarBluffcity,MO,?,?,?,17,97.27,19,457.72,8759.58,,,,,,,,
Uxbridgetown,MA,27,71620,?,10,92.17,0,645.16,1004.61,,,,,,,,
Westminstercity,MD,?,?,?,4,27.37,13,485.77,6499.73,,,,,,,,
Northboroughtown,MA,27,46820,?,0,0,1,209.22,1335.8,,,,,,,,
Springdalecity,OH,61,74104,?,2,18.73,1,280.93,11021.63,,,,,,,,
Garnertown,NC,?,?,?,2,11.48,8,281.32,4638.88,,,,,,,,
PalosVerdesEstatescity,CA,?,?,?,2,14.27,2,99.9,1705.44,,,,,,,,
Williamsportcity,PA,81,85312,?,8,25.07,14,316.55,6255.88,,,,,,,,
Poquosoncity,VA,735,63768,?,1,8.47,2,355.9,1491.4,,,,,,,,
Muskegocity,WI,133,55275,?,1,4.97,1,29.8,1217.03,,,,,,,,
Goldencity,CO,?,?,?,0,0,12,286.09,4340.24,,,,,,,,
Coppellcity,TX,?,?,?,0,0,2,44.22,2235.18,,,,,,,,
GrossePointeWoodscity,MI,163,35580,?,?,?,0,?,1960.9,,,,,,,,
Pomonacity,CA,?,?,5,81,56.02,389,1627.33,5693.22,,,,,,,,
Manitowoccity,WI,71,48500,?,8,23.99,6,110.97,4975.71,,,,,,,,
Roswellcity,NM,?,?,?,40,82.84,24,816.02,6677.3,,,,,,,,
GreenOaktownship,MI,93,35060,?,?,?,3,?,2306.66,,,,,,,,
Eastontown,MA,5,20100,?,0,0,0,138.91,2241.7,,,,,,,,
Hermistoncity,OR,?,?,?,4,35.55,1,177.73,5936.19,,,,,,,,
Carrborotown,NC,?,?,?,2,14.28,0,585.46,6568.61,,,,,,,,
ElkGroveVillagevillage,IL,?,?,?,?,?,17,?,3591.18,,,,,,,,
LittleRockcity,AR,?,?,0,215,118.9,174,3255.71,12364.16,,,,,,,,
Thomasvillecity,GA,?,?,?,5,26.63,10,591.24,7995.1,,,,,,,,
GrandJunctioncity,CO,?,?,?,11,33.8,19,577.61,8249.35,,,,,,,,
Beltoncity,TX,?,?,?,7,49.28,1,288.65,2970.99,,,,,,,,
Gallupcity,NM,?,?,?,24,118.01,12,1607.83,11977.58,,,,,,,,
NiagaraFallscity,NY,63,51055,0,39,64.56,?,736.68,?,,,,,,,,
Lakewoodtownship,NJ,29,38550,10,23,49.58,39,581.98,5701.29,,,,,,,,
Menashacity,WI,139,50825,?,3,19.13,1,44.64,4591.25,,,,,,,,
BrownDeervillage,WI,79,10375,?,1,8.34,0,141.75,3985.66,,,,,,,,
NorthCharlestoncity,SC,?,?,10,98,144.36,11,2264.09,11491.32,,,,,,,,
NorthMiamicity,FL,?,?,10,28,51.55,13,1818.82,10855.84,,,,,,,,
Waukeshacity,WI,133,84250,?,9,14.85,17,138.56,3294.13,,,,,,,,
GroveCitycity,OH,?,?,?,7,30.73,0,122.9,3256.96,,,,,,,,
Smithfieldtown,RI,7,66200,?,4,20.24,3,75.88,1365.91,,,,,,,,
Bluefieldcity,WV,?,?,?,1,7.92,0,324.52,2857.37,,,,,,,,
Tarborotown,NC,?,?,?,2,18.2,7,1264.79,5996.36,,,,,,,,
