"","rapes","rapesPerPop","arsons","arsonsPerPop","ViolentCrimesPerPop","nonViolPerPop"
"564","4","24.45","10","61.12","61.12","2573.19"
"565","2","15.59","0","0","179.32","2541.71"
"566","11","78.1","4","28.4","198.79","4195.95"
"567",NA,NA,"17","42.33",NA,"3072.56"
"568","12","66.79","15","83.49","322.81","7446.99"
"569","1","8.88","4","35.52","124.32","5834.3"
"570","1","8.49","1","8.49","84.88","3140.65"
"571","7","54.14","3","23.2","170.15","3480.28"
"572","0","0","0","0","74.96","2657"
"573","32","37.37","41","47.88","223.06","5492.49"
"574","0","0","3","25.83","103.33","5967.45"
"575","11","52.95","5","24.07","245.51","4178.5"
"576","5","44.87","0","0","358.97","4549.94"
"577","3","8.97","1","2.99","505.1","1736.45"
"578","13","62.32",NA,NA,"551.32",NA
"579","9","29.71","34","112.25","997.03","6857.05"
"580","1","9.52","1","9.52","295.04","2217.57"
"581","7","20.83","9","26.78","151.78","4264.75"
"582","2","6.15","0","0","64.61","4335.25"
"583","177","77.28","158","68.99","2978.69","13039.07"
"584",NA,NA,"3","13.05",NA,"3842.47"
"585","9","49.3","2","10.96","158.85","4015.12"
"586","7","49.15","0","0","1390.25","6593.18"
"587",NA,NA,"2","8.96",NA,"3293.16"
"588","12","51.82","7","30.23","133.87","2996.93"
"589","8","52.97","0","0","1483.15","5038.73"
"590","8","47.15","3","17.68","724.94","5216.01"
"591","25","69.26","15","41.56","872.72","11109.88"
"592","3","15.26","16","81.37","300.04","3951.38"
"593","19","64.32","1","3.39","744.75","3930.26"
"594","0","0","3","25.93","267.96","4295.96"
"595",NA,NA,"2","16.25",NA,"3194.08"
"596","19","62.77","3","9.91","1318.22","7522.8"
"597","0","0","4","29.46","198.88","1996.17"
"598","3","12.83","3","12.83","72.71","2993.76"
"599","2","8.18","9","36.79","102.2","2959.81"
"600","3","24.08",NA,NA,"88.3",NA
"601","68","61.46","60","54.23","2078.85","5569.51"
"602","1","6.95","6","41.69","62.53","5822.68"
"603","1","4.64","0","0","427.27","4230.91"
"604","4","16.02","47","188.27","348.5","3633.23"
"605","20","77.9","21","81.8","1336.03","10571.42"
"606","62","59.88","9","8.69","435.6","4114.51"
"607","1","7.29","1","7.29","196.79","4810.5"
"608","339","89.88","249","66.02","1304.78","6544.31"
"609","8","16.31","3","6.11","313.89","2631.36"
"610","9","26.22","0","0","1678.08","4253.46"
"611","2","11.19","0","0","151.13","1354.53"
"612","3","7.48","1","2.49","184.39","2554.01"
"613","3","16.65","2","11.1","127.65","3446.55"
"614","4","21.14","18","95.15","375.3","5079.82"
"615","33","33.62","28","28.53","223.14","5388.97"
"616","3","8.74","2","5.82","58.24","1243.34"
"617","12","88.53","4","29.51","1032.91","5267.82"
"618","0","0","0","0","566.68","2172.27"
"619","17","97.27","19","108.71","457.72","8759.58"
"620","10","92.17","0","0","645.16","1004.61"
"621","4","27.37","13","88.94","485.77","6499.73"
"622","0","0","1","8.05","209.22","1335.8"
"623","2","18.73","1","9.36","280.93","11021.63"
"624","2","11.48","8","45.93","281.32","4638.88"
"625","2","14.27","2","14.27","99.9","1705.44"
"626","8","25.07","14","43.88","316.55","6255.88"
"627","1","8.47","2","16.95","355.9","1491.4"
"628","1","4.97","1","4.97","29.8","1217.03"
"629","0","0","12","83.73","286.09","4340.24"
"630","0","0","2","8.04","44.22","2235.18"
"631",NA,NA,"0","0",NA,"1960.9"
"632","81","56.02","389","269.03","1627.33","5693.22"
"633","8","23.99","6","18","110.97","4975.71"
"634","40","82.84","24","49.71","816.02","6677.3"
"635",NA,NA,"3","25.16",NA,"2306.66"
"636","0","0","0","0","138.91","2241.7"
"637","4","35.55","1","8.89","177.73","5936.19"
"638","2","14.28","0","0","585.46","6568.61"
"639",NA,NA,"17","48.96",NA,"3591.18"
"640","215","118.9","174","96.23","3255.71","12364.16"
"641","5","26.63","10","53.27","591.24","7995.1"
"642","11","33.8","19","58.38","577.61","8249.35"
"643","7","49.28","1","7.04","288.65","2970.99"
"644","24","118.01","12","59","1607.83","11977.58"
"645","39","64.56",NA,NA,"736.68",NA
"646","23","49.58","39","84.06","581.98","5701.29"
"647","3","19.13","1","6.38","44.64","4591.25"
"648","1","8.34","0","0","141.75","3985.66"
"649","98","144.36","11","16.2","2264.09","11491.32"
"650","28","51.55","13","23.93","1818.82","10855.84"
"651","9","14.85","17","28.04","138.56","3294.13"
"652","7","30.73","0","0","122.9","3256.96"
"653","4","20.24","3","15.18","75.88","1365.91"
"654","1","7.92","0","0","324.52","2857.37"
"655","2","18.2","7","63.69","1264.79","5996.36"
"656","3","8.36","7","19.5","559.86","5439.81"
"657","0","0","0","0","21.66","2642.98"
"658","3","16.46",NA,NA,"389.55",NA
"659","1","7.24","0","0","188.13","1960.93"
"660","1","7.7","4","30.81","169.44","5460.57"
"661","173","88.66","145","74.31","1424.74","11722.35"
"662","17","39.25","12","27.71","658.05","4167.63"
"663","0","0","2","12.67","82.38","1907.48"
"664","4","26.21","3","19.66","281.76","2974.9"
"665","4","16.62",NA,NA,"374.05",NA
"666","9","35.97","1","4","623.55","4592.69"
"667","269","150.01","260","144.99","1629.43","9465.95"
"668","25","35.8","29","41.52","904.94","7150.73"
"669","4","30.79","0","0","153.93","2285.85"
"670","3","19.83","0","0","198.28","4586.91"
"671","11","76.68","1","6.97","223.06","4642.41"
"672","13","57.59","0","0","699.98","7323.23"
"673","1","7.93","2","15.86","71.35","4043.13"
"674","7","14.09","4","8.05","366.34","5410.63"
"675","19","79.5","2","8.37","292.91","4946.02"
"676",NA,NA,"1","7.55",NA,"3511.82"
"677","3","21.07","0","0","252.9","5212.5"
"678","8","36.83",NA,NA,"626.09",NA
"679","0","0","2","13.86","408.98","4817.69"
"680","6","21.17","11","38.81","105.84","2007.34"
"681","5","38.28","6","45.94","145.47","2802.24"
"682","18","32.02","4","7.12","327.36","4109.74"
"683","0","0","3","17.49","99.13","1737.61"
"684","5","7.01","1","1.4","68.68","1572.73"
"685","10","20.45","24","49.09","560.45","5700.67"
"686","281","47.61","461","78.11","1035.05","6961.87"
"687","2","12.93","0","0","303.91","2289.04"
"688","12","35.21","10","29.34","534.04","3060.45"
"689","3","21.53","0","0","674.75","1636.64"
"690","14","89.06","4","25.45","1278.63","8396.95"
"691","12","75.49","18","113.24","509.56","4479.11"
"692","0","0","1","4","151.91","1791"
"693","1","8.77","1","8.77","70.19","3272.79"
"694","2","10.77","2","10.77","350.03","5885.84"
"695","4","20.61","4","20.61","159.72","2313.36"
"696","36","100.23","7","19.49","860.27","6584.26"
"697","31","51.04","24","39.52","321.08","6885.88"
"698","4","18.23","16","72.94","989.2","5875.92"
"699","7","38.13","7","38.13","403.14","5431.47"
"700","1","8.11","6","48.69","592.34","5201.23"
"701",NA,NA,"2","13.13",NA,"3295.26"
"702","5","42.17","7","59.04","101.21","3500.34"
"703","1","8.36","1","8.36","83.56","2105.79"
"704","1","3.4","3","10.21","125.96","2995.85"
"705","129","70.63","144","78.85","3047.66","9248.11"
"706","26","75.11","20","57.78","2507.51","9827.83"
"707","159","68.91","348","150.81","1171.84","10038.61"
"708","34","38.71","10","11.39","230","4965.56"
"709","1","3.71","25","92.69","140.88","2828.75"
"710","5","45.5","7","63.69","282.07","5050.05"
"711","49","50.74","166","171.88","1274.62","7762.64"
"712","22","69.83","5","15.87","384.08","2482.22"
"713","21","34.02","21","34.02","933.19","7180.35"
"714","8","40.25","11","55.34","1232.52","7787.5"
"715","9","40.09","7","31.18","445.41","4164.63"
"716","0","0","0","0","58.37","1916.34"
"717","65","66.73","66","67.75","1565.55","8078.23"
"718","94","39.02","29","12.04","842.7","5502.07"
"719","1","6.72","1","6.72","53.73","4103.43"
"720","90","108.05","306","367.36","3530.78","12109.83"
"721","1","6.64","0","0","6.64","1592.89"
"722","45","42.78","74","70.35","1318.6","4576.61"
"723","6","30.4","5","25.34","91.21","2153.53"
"724","271","53.98","610","121.51","599.78","9773.95"
"725","3","5.1","20","33.99","141.06","2659.71"
"726","9","49.29","10","54.76","657.14","6149.72"
"727","77","46.3",NA,NA,NA,NA
"728","19","81.83","3","12.92","2885.57","5977.86"
"729","3","24.22","1","8.07","750.73","2542.78"
"730","9","45.73","0","0","985.82","4019.51"
"731","7","25.5","11","40.08","142.09","4080.44"
"732","0","0","1","8.98","98.73","1337.28"
"733","3","14.91",NA,NA,"1441.78",NA
"734","2","17.66","7","61.81","105.96","5792.49"
"735","32","32.78","57","58.39","578.8","5007.38"
"736","515","115.59","527","118.28","2460.11","10039.52"
"737","9","24.28",NA,NA,"607.03",NA
"738","8","40.1","15","75.18","205.49","5117.28"
"739","33","32.59","21","20.74","1174.32","4015.8"
"740","34","18.56","89","48.59","737.62","4494.53"
"741","21","31.14","7","10.38","360.34","5492.62"
"742",NA,NA,"3","22.32",NA,"2209.49"
"743","4","24.85","6","37.27","105.6","3217.59"
"744","22","19.72","50","44.83","305.72","2631.37"
"745",NA,NA,"9","26.96",NA,"6203.2"
"746","18","99.5","0","0","2089.44","9833.62"
"747","20","43.66","12","26.2","1477.94","7734.63"
"748","391","47.52","318","38.65","646.17","3857.83"
"749","2","15.35","2","15.35","130.44","2654.8"
"750","4","10.05","0","0","190.95","2756.14"
"751","1","2.93",NA,NA,"383.57",NA
"752","50","135.2","14","37.86","816.61","6800.61"
"753","0","0","6","21.05","105.23","1918.69"
"754","5","31.4","3","18.84","583.99","3679.75"
"755","3","10.91","9","32.74","865.9","2670.45"
"756","9","53.34","1","5.93","349.65","3662.44"
"757","4","21.49","3","16.12","161.19","3868.68"
"758","0","0","1","8.37","92.04","1773.91"
"759","3","19.63",NA,NA,"26.17",NA
"760","42","91.64","10","21.82","3414.57","11646.63"
"761","3","20.3","3","20.3","155.67","2260.58"
"762",NA,NA,"2","9.11",NA,"3748.06"
"763","5","14.64","8","23.43","676.45","5294.44"
"764","356","65.42","389","71.49","1787.2","7428.52"
"765","2","15.29","8","61.15","68.8","3730.32"
"766","5","15.9","16","50.89","728.37","5655.22"
"767","154","99.59","96","62.08","1960.67","8666.52"
"768","4","30.18","1","7.54","286.66","4277.31"
"769","0","0","5","15.9","216.2","3634.11"
"770","0","0","2","14.39","86.34","3144.34"
"771","3","8.43","4","11.24","137.66","2778.4"
"772","0","0","7","47.58","20.39","1549.65"
"773","3","17.55","3","17.55","988.71","2983.68"
"774","3","18.75","0","0","393.73","3049.81"
"775","42","219.67","10","52.3","564.85","4979.08"
"776","4","25.08","7","43.9","363.7","2627.45"
"777","0","0","0","0","116.1","1736.87"
"778","4","16.17","4","16.17","80.84","1240.86"
"779","1","6.86","1","6.86","260.79","4879.56"
"780","6","12.48",NA,NA,"166.4",NA
"781",NA,NA,"5","34.86",NA,"14440.11"
"782","4","16.85","2","8.42","724.52","9448.19"
"783","298","60.62",NA,NA,"2038.98",NA
"784","36","107.36",NA,NA,"2982.31",NA
"785","9","15.46","2","3.44","893.29","4078.2"
"786","28","27.89","46","45.82","514.99","3743.36"
"787","12","48.58","33","133.61","708.53","5299.81"
"788","3","11.66","0","0","69.94","2121.46"
"789","13","21.1","21","34.09","160.72","3298.75"
"790",NA,NA,"14","72.17",NA,"6088.26"
"791","6","10.77","11","19.75","441.72","2813.69"
"792","122","59.18","52","25.23","1076.95","7955.35"
"793",NA,NA,"1","4.95",NA,"2907.96"
"794","40","85.24",NA,NA,"2186.47",NA
"795","9","51.02",NA,NA,"136.06",NA
"796","9","12.83","25","35.64","64.14","3807.28"
"797",NA,NA,"13","30.4",NA,"5240.51"
"798","13","97.93","2","15.07","851.22","6410.55"
"799","3","15.5","8","41.34","242.89","4382.43"
"800","2","15.87","5","39.69","103.18","1690.61"
"801","94","89.99","13","12.45","2109.96","9737.98"
"802","17","28.06","29","47.87","402.75","4874.22"
"803",NA,NA,"7","41.89",NA,"3482.74"
"804","7","38.78","0","0","559.59","4770.35"
"805","12","18.55","12","18.55","265.95","5201.39"
"806","9","47.69","8","42.39","1012.03","7900.17"
"807",NA,NA,"2","16.91",NA,"4083.88"
"808","658","103.02","1029","161.1","1118.78","7860.14"
"809","22","41.31","30","56.34","572.76","4499.45"
"810","8","64.42","6","48.32","2584.96","13802.54"
"811",NA,NA,"7","61.68",NA,"5340.15"
"812","2","10.24","2","10.24","450.38","4601.05"
"813","55","37.52","56","38.2","984.34","4941.47"
"814","8","63","0","0","259.88","3016.22"
"815","10","41.61","7","29.12","711.46","7368.42"
"816","2","18.97","1","9.48","749.31","12349.43"
"817","13","38.66","7","20.82","514.53","3967.52"
"818","1109","63.94","1549","89.31",NA,"6784.1"
"819","1","3.91","0","0","273.42","4886.34"
"820","10","52.68","7","36.88","489.94","11189.55"
"821","1","1.86","0","0","57.79","2464.39"
"822","27","28.77","21","22.38","985.62","5843.37"
"823","3","21.62","5","36.03","259.44","4533.01"
"824","1","3.49","1","3.49","101.26","1386.17"
"825","21","30.05","1","1.43","728.32","6652.17"
"826","13","80.66","1","6.2","254.39","3623.5"
"827","9","42.31","0","0","239.75","2848.82"
"828","0","0",NA,NA,"34.98",NA
"829","2","18.59","0","0","55.76","2090.88"
"830","668","93.79","545","76.52","3081.26","9901.59"
"831","8","35.32","9","39.73","909.37","7323.53"
"832","5","23.98","5","23.98","105.5","3879.54"
"833",NA,NA,"26","31.83",NA,"4158.25"
"834","28","28.84","20","20.6","739.5","11503.4"
"835","33","81.73","8","19.81","321.96","6939.42"
"836","1","1.84","4","7.38",NA,"3813.53"
"837","1","7.51","1","7.51","15.03","1059.59"
"838","3","10.78","8","28.74","441.95","4915.38"
"839","5","15.75","9","28.36","1726.58","5293.17"
"840","5","8.09","23","37.21","144","2103.36"
"841","3","6.56","5","10.93","373.88","4309.42"
"842","21","74.82","3","10.69","1304.02","6160.26"
"843",NA,NA,"4","15.46",NA,"5755.48"
"844",NA,NA,"11","23.11",NA,"2604.66"
"845","6","21.8","1","3.63","232.55","2405.44"
"846","35","65.36","44","82.17","524.76","8117.95"
"847","22","48.08","18","39.34","439.29","6521.55"
"848","3","14.93","7","34.84","154.31","4514.91"
"849","6","51.51","2","17.17","171.7","2841.69"
"850","5","32.36","1","6.47","271.86","6964.85"
"851","75","77.35","28","28.88","2169.92","5011.24"
"852","11","38.88","14","49.49","1124.03","9154.85"
"853","8","29.18","1","3.65","255.32","3490.54"
"854",NA,NA,"5","25.11",NA,"2024.21"
"855","31","138.62","23","102.85","2209.01","11255.2"
"856","5","49.07","3","29.44","2119.93","13023.85"
"857","10","27.59","2","5.52","331.04","5892.58"
"858","6","48.83","9","73.24","1000.98","6331.38"
"859","11","57.85","5","26.3","99.93","3355.42"
"860","2","13.4","0","0","247.89","2994.77"
"861","22","27.56","29","36.33","987.28","5192.01"
"862",NA,NA,"0","0",NA,"2439.98"
"863","0","0","2","15.04","45.13","2858.43"
"864","0","0","1","7.23","354.46","4730.9"
"865","6","18.84","19","59.67","1884.24","9160.57"
"866","16","30.41","22","41.81","309.78","2708.2"
"867","11","45.17","6","24.64","332.61","3646.37"
"868",NA,NA,"1","7.47",NA,"1345.39"
"869",NA,NA,"6","31.58",NA,"5232.13"
"870","3","16.24","8","43.3","167.79","3112.31"
"871","7","16.55",NA,NA,"208.03",NA
"872","5","18.87","4","15.09","264.12","7399.16"
"873","3","12.84","0","0","106.98","1377.95"
"874","2","16.59","3","24.88","348.32","5382.32"
"875","7","26.38","0","0","286.4","3764.7"
"876","8","62.56","6","46.92","742.94","5802.77"
"877","11","27.18","8","19.77","353.39","2444.09"
"878","2","10.78","11","59.31","803.36","5154.47"
"879","0","0","1","7.72","84.88","2253.09"
"880","1","4.23","8","33.83","346.72","6054.97"
"881","725","117.13","585","94.51","1633.81","8501.39"
"882","5","25.22","4","20.18","786.89","2133.67"
"883","3","22.53","5","37.55","360.5","6023.28"
"884","16","42.39","18","47.69","267.59","3799.28"
"885","3","15.83","5","26.38","538.17","5550.57"
"886","4","31.73","5","39.66","499.72","8043.15"
"887",NA,NA,"3","17.6",NA,"3496.83"
"888","6","34.04","6","34.04","198.58","6683.69"
"889","16","22.04","12","16.53","410.47","3629.48"
"890","5","21.63","2","8.65","1276.17","4771.59"
"891","2","5.29","9","23.81","58.2","2084.49"
"892","0","0","0","0","143.18","1988.55"
"893",NA,NA,"86","71.51",NA,"6197.61"
"894","4","12.9","4","12.9","206.47","3229.34"
"895","18","30.05","55","91.82","1644.35","7692.56"
"896","9","73.53","3","24.51","1282.68","8545.75"
"897","5","8.92","10","17.84","194.49","3855.9"
"898","4","30.14","0","0","97.97","2449.13"
"899","7","32.41","1","4.63","541.74","5922.12"
"900","4","33.21","1","8.3","838.59","9407.17"
"901","30","128.6","8","34.29","3364.91","14008.32"
"902","7","23.69","57","192.93","700.63","3604.67"
"903","16","18.11","17","19.24","320.3","4810.2"
"904","14","37.57","37","99.29","880.21","9164.34"
"905","6","33.84","9","50.77","428.7","4078.29"
"906",NA,NA,"3","26.79",NA,"5759.96"
"907",NA,NA,"0","0",NA,"2064.9"
"908","39","58.86","8","12.07","774.19","6688.5"
"909","51","45.28","29","25.75","581.49","5835.3"
"910","4","22.63","2","11.31","503.48","6579.17"
"911","3","12.87","3","12.87","111.56","4376.74"
"912","9","73.81","3","24.6","459.24","3345.91"
"913","12","38.84","23","74.45","233.06","4017.09"
"914","5","37.07","3","22.24","378.11","3024.91"
"915","4","10.74","8","21.48","217.44","4225.28"
"916",NA,NA,"23","58.3",NA,"5842.69"
"917","5","37.21",NA,NA,"238.15",NA
"918","15","15.53","16","16.57","453.49","3505.76"
"919","0","0","0","0","27.66","1069.52"
"920",NA,NA,"18","127.7",NA,"12061.01"
"921","1","8.39","3","25.16","377.36","4293.5"
"922","12","9.5","38","30.1","111.68","3520.65"
"923","2","12.31","1","6.16","215.44","5884.53"
"924","18","44.25","17","41.79","1214.45","6534.41"
"925","2","8.14","4","16.28","174.98","3316.51"
"926","16","14.89","24","22.33","237.24","2453.34"
"927",NA,NA,"2","4.98",NA,"1546.43"
"928","1","4.13","0","0","78.56","1649.71"
"929","2","4.28","0","0","529.02","3452.56"
"930","10","92.6","18","166.68","1444.58","6982.13"
"931","9","41.68","5","23.16","926.23","6080.67"
"932","1","5.61","0","0","61.66","1154.71"
"933","2","14.1","0","0","155.09","2629.54"
"934","8","22.22","5","13.89","433.21","5695.64"
"935","3","14.78","3","14.78","88.69","2049.66"
"936","0","0","1","3.91","11.72","917.97"
"937","35","62.43","6","10.7","285.38","3708.2"
"938","54","87.24","8","12.92","827.14","6242.33"
"939","5","43.58","1","8.72","278.92","5308.11"
"940","0","0","3","118.16","2008.66","14021.27"
"941","3","13.65","2","9.1","450.45","4659.2"
"942","20","76.25","24","91.5","236.38","4373.02"
"943","1","7.36","0","0","368.19","751.1"
"944","11","60.13","0","0","825.36","7165.89"
"945","0","0","2","7.8","39.02","1342.18"
"946","2","6.68","1","3.34","624.31","2670.85"
"947","84","42.97","233","119.19","461.42","7589.33"
"948","6","19.96","4","13.31","123.1","3396.77"
"949",NA,NA,"13","16.2",NA,"6927.24"
"950","4","27.65","4","27.65","214.31","2468.03"
"951","1","1.66","9","14.96","225.99","3845.13"
"952",NA,NA,"4","18.34",NA,"3553.58"
"953","6","40.21","4","26.81","134.03","3752.85"
"954",NA,NA,"4","17.31",NA,"3029.39"
"955","19","31.97","18","30.29","395.44","4073.84"
"956","5","18.21","7","25.5","284.14","3508.07"
"957","8","52.16","0","0","508.57","2549.39"
"958","6","50.83","0","0","118.6","2685.53"
"959","4","30.37","2","15.19","258.16","5011.39"
"960","1","8.5",NA,NA,"25.51",NA
"961","0","0","3","18.65","478.65","5613.23"
"962","17","31.52","16","29.67","904.83","3982.72"
"963","5","31.34","7","43.88","532.85","4783.1"
"964","0","0","1","8.2","24.59","696.61"
"965","14","42.96","2","6.14","589.14","7149.43"
"966","44","32.63","51","37.82","1280.74","5938.71"
"967","15","53.87","22","79.01","506.39","3541.16"
"968","2","9.81",NA,NA,"853.28",NA
"969","0","0","0","0","123.17","5166.28"
"970","1","8.96","1","8.96","456.87","1702.05"
"971","5","47.29","1","9.46","397.28","4048.43"
"972","12","65.47","4","21.82","1964.1","12766.65"
"973","29","67.62","73","170.22","1587.93","8580.89"
"974","3","17.21","0","0","45.89","3092.01"
"975","5","30.13","1","6.03","391.64","4295.96"
"976","19","37.07","26","50.73","345.37","5715.12"
"977","111","34.19","86","26.49","719.23","6744.72"
"978","3","20.37","0","0","312.39","2159.59"
"979",NA,NA,"1","7.64",NA,"2122.79"
"980",NA,NA,"2","16.68",NA,"5862.24"
"981","8","36.19","6","27.15","389.09","4569.52"
"982","5","8.9","21","37.38","377.37","3809.32"
"983","2","19.1","3","28.65","257.86","1537.58"
"984","2","10.24","11","56.34","962.82","10739.53"
"985","0","0","6","25.8","124.69","1835.93"
"986","49","34.74","73","51.76","455.92","5054.1"
"987","1","6.67",NA,NA,"93.44",NA
"988","23","49.71","0","0","3834.1","8997.38"
"989",NA,NA,"41","59.49",NA,"6260.61"
"990","0","0","0","0","36.91","3617.57"
"991","212","83.63","105","41.42","872.98","5535.31"
"992","67","39.88","45","26.78","401.73","6063.49"
"993","20","76.72","7","26.85","1331.08","4814.15"
"994","0","0","0","0","31.51","992.67"
"995","39","99.49","20","51.02","1153.03","7048.29"
"996","6","21.87","9","32.8","127.57","4516.13"
"997","50","48.58","52","50.52","869.6","7573.77"
"998","3","17.96","1","5.99","173.57","2735.22"
"999","8","24.28","4","12.14","203.33","3842.07"
"1000","21","90.47","18","77.55","1391.58","12127.87"
"1001","1","8.17","11","89.92","384.21","2542.3"
"1002","1","2.75","2","5.5","27.49","1836.38"
"1003","23","59.63","17","44.07","956.68","8241.94"
"1004","46","125.16","102","277.54","3583.48","27010.77"
"1005","12","20.42","33","56.15","345.39","5361.21"
"1006","7","29.81","10","42.58","711.12","5344.06"
"1007","2","17.12","0","0","231.16","1832.19"
"1008","1","8.19","0","0","147.49","4285.48"
"1009",NA,NA,"10","25.9",NA,"4839"
"1010","10","52.19","5","26.09","506.21","4315.83"
"1011","1","9.24","0","0","535.75","1995.2"
"1012","4","15.37","4","15.37","211.4","5796.21"
"1013","10","70.42","12","84.5","521.09","6724.88"
"1014","31","53.61","34","58.8","1469.9","7496.5"
"1015","0","0","1","7.6","68.39","1732.65"
"1016","7","37.63","0","0","188.13","3794.88"
"1017","11","17.27","15","23.56","314.07","4690.64"
"1018","1","8.71","0","0","235.07","4762.32"
"1019","4","21.49","0","0","96.73","2015.15"
"1020","23","54.99","25","59.78","920.55","8139.06"
"1021","11","21.51","11","21.51","791.96","6476.47"
"1022",NA,NA,"16","21.41",NA,"7387.18"
"1023",NA,NA,"15","140.88",NA,"7401.15"
"1024","10","83.83","0","0","1064.63","2975.94"
"1025","9","23.22","20","51.6","278.64","2706.47"
"1026",NA,NA,"2","9.98",NA,"4712.22"
"1027","0","0","3","8.77","67.2","4227.9"
"1028","18","98.99","3","16.5","824.95","2826.82"
"1029","4","22.2",NA,NA,"155.37",NA
"1030","3","11.87","3","11.87","166.15","2713.82"
"1031","9","18.22","5","10.12","125.54","5088.28"
"1032","46","54.63","50","59.38","951.34","5904.01"
"1033","14","120.54","1","8.61","1334.6","12493.54"
"1034","0","0","2","13.72","48.01","2489.71"
"1035","4","13.19","0","0","98.95","2315.53"
"1036","12","31.89","12","31.89","441.08","5056.46"
"1037","1","3.94","8","31.49","204.68","3192.28"
"1038","0","0","1","8.07","56.51","5085.98"
"1039","11","35.25","11","35.25","474.31","3214.43"
"1040","216","55.6","659","169.63","1418.55","9454.95"
"1041","28","24.34","31","26.95","953.67","8977.74"
"1042","13","87.78","2","13.51","1215.48","5422.38"
"1043","36","30.65","31","26.39","530.44","6200.09"
"1044","10","77.86","8","62.29","537.26","7249.09"
"1045","1","4.44","3","13.32","84.35","3303"
"1046","42","39.81","42","39.81","681.43","6474.08"
"1047","0","0","0","0","96.47","2744.13"
"1048","0","0","1","8.59","85.9","2010.14"
"1049","2","10.65","3","15.97","628.09","7404.06"
"1050","5","28.19","1","5.64","84.57","2627.42"
"1051","8","24.61","8","24.61","495.28","2294.89"
"1052","174","150.95","503","436.37","2154.96","8024.71"
"1053","53","63.42","68","81.37","1395.22","7234.57"
"1054","3","20.41","9","61.22","292.52","4911.56"
"1055","3","20.05","0","0","106.96","2246.14"
"1056","9","43.58","7","33.89","266.29","5175.75"
"1057","50","133.92","18","48.21","2581.96","11466.15"
"1058","4","13.82",NA,NA,"1088.12",NA
"1059","13","26.94","3","6.22","155.42","4012.02"
"1060","7","32.73","1","4.68","149.6","2248.71"
"1061","13","67.96","10","52.28","695.28","5849.76"
"1062","11","43.04","2","7.83","297.37","3631.1"
"1063","0","0","3","19.99","306.54","7310.41"
"1064","15","57.27","18","68.72","832.32","5681.12"
"1065",NA,NA,"6","14.96",NA,"4524.15"
"1066","3","17.73","4","23.64","212.73","3025.47"
"1067","0","0","13","57.02","78.94","2719.18"
"1068","2","11.02","5","27.54","346.99","2952.19"
"1069","1","8.4","0","0","84.02","2377.75"
"1070","4","28.51","1","7.13","171.06","6072.7"
"1071","5","38.6","3","23.16","108.07","4585.46"
"1072","65","43.52","56","37.5","556.4","7720.02"
"1073","11","66.56","12","72.61","1240.39","14013.43"
"1074","3","23.65","1","7.88","212.83","3689.11"
"1075","1","7.22","0","0","130.01","2181.29"
"1076","13","39.3","0","0","447.45","8474.42"
"1077","0","0","3","16.5","54.99","1792.59"
"1078","10","77.42","0","0","487.73","4250.21"
"1079","2","3.94","1","1.97","76.92","1110.39"
"1080","13","46.39","22","78.51","1227.61","7304.97"
"1081","11","82.43","3","22.48","771.88","9779.68"
"1082","0","0","1","8.74","43.71","1118.88"
"1083","4","13",NA,NA,"454.84",NA
"1084","7","13.65","14","27.3","74.09","5634.96"
"1085","0","0","0","0","163.75","2378.42"
"1086","0","0","5","28.5","906.29","9165.53"
"1087",NA,NA,"10","14.53",NA,"3851.07"
"1088","13","69.03","4","21.24","1093.88","7205.82"
"1089","25","52.56","5","10.51","832.58","6830.94"
"1090","6","33.88","0","0","112.94","4743.62"
"1091","15","81.46","2","10.86","657.11","7429.13"
"1092","2","17.5","1","8.75","236.22","4050.74"
"1093","3","14.49","1","4.83","270.39","4181.35"
"1094",NA,NA,"3","11.03",NA,"1135.78"
"1095","135","49.52","257","94.26","999.13","5451.18"
"1096","3","10.57","4","14.09","144.44","1648.7"
"1097","10","78.2","1","7.82","594.35","4606.24"
"1098","48","107.7","57","127.89","2344.68","7747.54"
"1099","35","45.43","2","2.6","1283.7","7364.72"
"1100","0","0","3","12.11","121.07","3285.04"
"1101","61","98.7","113","182.84","673.11","7289.29"
"1102","6","45.26","1","7.54","165.96","4888.35"
"1103","30","55.45","6","11.09","275.38","5234.07"
"1104","1","3.56","21","74.71","259.69","3525.44"
"1105","3","20.59","4","27.45","253.89","3973.1"
"1106","1","4.72","2","9.43","33.01","2268.33"
"1107",NA,NA,"2","15.87",NA,"4181.54"
"1108","3","18.99","5","31.65","126.61","4051.66"
"1109","109","74.67","90","61.65","1169.38","9154.31"
"1110","0","0","1","6.16","43.13","1336.95"
"1111","2","18.94","1","9.47","170.42","4004.92"
"1112","3","22.85","4","30.47","358.01","5408.29"
"1113","10","37.17","19","70.63","479.52","3802.69"
"1114","16","30.62","24","45.93","673.62","5105.73"
"1115","15","68.72","27","123.7","1392.77","13735.28"
"1116","14","55.19","10","39.42","204.97","3358.43"
"1117","2","9.69","0","0","67.86","4071.35"
"1118","4","11.07","5","13.83","182.6","2321.27"
"1119","2","11.49","2","11.49","155.08","4888"
"1120","9","36.66","0","0","93.7","1776.18"
"1121","22","20.52","31","28.92","500.94","5005.64"
"1122","4","29.98","2","14.99","134.91","2286.01"
"1123","32","65.45","5","10.23","380.43","5688.05"
"1124",NA,NA,"4","30.51",NA,"3843.81"
