"","racepctblack","racePctWhite","PctImmigRec5","PctRecImmig5","rapes","rapesPerPop","arsons","arsonsPerPop","ViolentCrimesPerPop","nonViolPerPop"
"390",13.94,85.03,6.12,0.09,"6","24.68","3","12.34","1205.17","4972.85"
"391",31,65.5,24.19,2.68,"7","18.28","5","13.06","509.18","6256.36"
"393",0.25,97.28,15.64,0.76,"11","30.35","8","22.07","140.72","2579.88"
"394",29,69.88,26.92,0.42,"18","57.74","17","54.53","878.94","4994.55"
"395",1.12,88.49,17.86,2.24,"13","24.9","7","13.41","294.92","3347.5"
"396",0.31,93.64,4.78,0.11,"2","14.77","5","36.91","155.04","3521.59"
"398",1.04,97.73,12.95,0.5,"4","26.1","22","143.58","202.31","1461.85"
"400",2.83,93.93,24.16,2.12,"8","36.29","7","31.75","185.97","1560.37"
"401",0.15,99.1,17.57,0.18,"0","0","10","66.84","133.68","4398.1"
"402",4.66,91.37,10.38,0.52,"1","8.3","1","8.3","190.95","1992.53"
"403",0.6,96.27,15.36,1.05,"2","6.56","1","3.28","62.29","1331.02"
"404",46.61,52.6,16.16,0.16,"26","233.58","10","89.84","2650.26","16233.94"
"405",5.22,92,19.94,1.87,"3","22.54","2","15.03","405.71","7505.63"
"406",9.84,89.41,2.64,0.03,"11","35","0","0","264.07","4088.32"
"407",0.22,91.62,27.45,1.73,"20","84.41","7","29.54","485.38","8352.68"
"408",1.34,94.55,10.6,0.79,"3","14.18","3","14.18","103.96","1960.97"
"409",2.66,55.96,22.9,8.7,"3","19.15","9","57.45","1640.6","4857.96"
"410",0.57,97.78,8.53,0.29,"4","21.73","1","5.43","217.26","3590.24"
"411",6.99,91.52,44.9,0.39,"8","67.74","2","16.94","279.45","4293.34"
"412",22.56,76.34,14.59,0.19,"17","38.14","11","24.68","567.54","5334.47"
"413",2.66,91.45,22.6,1.21,"75","70.02","33","30.81","269.82","2762.66"
"415",10.97,73.14,25.61,2.96,"14","35.52","12","30.45","880.44","5158.33"
"417",20.9,76.03,24.08,0.81,"104","98.09","62","58.48","1093.15","8755.56"
"418",15.14,83.45,10.43,0.7,"11","86.07","7","54.77","1095.46","8356.81"
"419",0.17,98.88,6.9,0.63,"0","0","0","0","178.57","3890.98"
"421",0.83,96.58,6.74,0.49,"0","0","4","30.79","138.57","6497.31"
"422",5.73,91.43,2.86,0.12,"4","24.25","4","24.25","181.86","2837.05"
"423",20.35,57.93,26.68,3.46,"26","30.97","36","42.89","1380.76","4782.04"
"424",24.88,74,19.11,0.2,"25","41.57","32","53.21","1486.61","8773.3"
"425",70.08,22.43,25.16,4.96,"60","96.87","33","53.28","2423.47","9811.74"
"426",5.52,78.97,19.45,3.27,"4","11.93","1","2.98","772.3","7242.96"
"427",0.76,80.06,17.36,2.42,"3","5.3","10","17.68","758.39","8050.63"
"428",0.8,96.5,9.25,0.39,"6","36.12","1","6.02","234.77","5116.78"
"430",12.12,84.99,31.78,1,"28","68.01","15","36.43","699.49","6028.22"
"431",3.72,95.24,33.16,0.32,"10","45.92","2","9.18","225.01","7833.95"
"432",1.91,93.71,28.3,1.46,"5","36.3","1","7.26","500.94","1989.26"
"433",2.37,93.69,23.97,1.42,"4","9.95","6","14.92","106.93","2511.63"
"434",3.23,93.11,13.13,1.05,"5","13.66","6","16.4","284.21","2828.41"
"436",17.29,81.73,10.29,0.09,"1","5.93","2","11.87","634.79","7937.83"
"438",0.97,96.14,15.39,1.19,"2","9.52","0","0","52.35","1380.23"
"439",0.1,96.78,25.62,0.39,"1","5.41","2","10.81","264.97","5531.82"
"441",0.93,97.69,1.83,0.06,"1","8.1","4","32.41","81.02","1531.36"
"442",0.27,97.48,25.98,1.59,"1","7.01","0","0","140.18","4247.56"
"443",0.33,89.29,27.51,2.89,"29","55.04","15","28.47","1195.76","6305.28"
"444",33.74,65.55,40.19,0.66,"0","0","1","7.09","63.81","453.77"
"445",4,94.2,9.52,1.06,"7","25.38","2","7.25","264.67","2472.72"
"446",0.49,88.19,4.81,0.59,"2","16.58","2","16.58","99.47","2138.59"
"447",5.19,86.08,17.91,2.58,"2","10.32","4","20.64","443.73","5737.58"
"448",2.34,95.43,12.42,0.21,"10","47.91","3","14.37","201.24","3085.62"
"449",7.81,89.39,49.9,1.57,"9","53.62","2","11.92","208.53","2818.16"
"450",9.18,89.59,23.73,0.19,"12","30.65","69","176.23","168.57","4627.88"
"451",5.02,91.71,2.79,0.19,"2","7.17","2","7.17","426.57","4262.11"
"452",66.07,31.89,27.41,1.71,"0","0","5","41.27","354.96","4424.63"
"453",8.05,91.51,0,0,"0","0","0","0","339.73","4416.49"
"454",0.58,98.5,10.22,0.59,"0","0","1","5.94","47.5","2707.68"
"455",10.92,53.56,25.76,8.75,"361","48.89","488","66.09","1810.07","7754.23"
"456",4.11,80.28,23.11,3.68,"18","40.12","22","49.03","686.47","5304.57"
"457",1.18,89.13,57.12,5.81,"18","38.24","26","55.24","220.96","4890.8"
"458",2.07,56.77,24.69,5.93,"13","79.42","7","42.76","2089.32","12658.07"
"460",22.95,74.55,15.46,0.38,"6","19.14","11","35.08","494.37","2730.2"
"461",4.29,89.66,15.32,0.92,"5","8.78","9","15.81","332","4526.77"
"462",4.51,82.8,18.16,4.6,"49","56.01","137","156.6","1651.73","10954"
"463",0.84,97.32,10.47,0.66,"0","0","4","18.14","9.07","1324.5"
"464",0.3,98.49,12.56,0.6,"12","58.73","30","146.83","161.51","5594.17"
"465",0.04,99.5,3.76,0.07,"0","0","1","8.42","168.48","2822"
"466",7.49,89.25,17.5,1.29,"22","28.84","8","10.49","602.99","4846.24"
"467",1.08,93.83,26.76,1.37,"52","65","29","36.25","342.53","4705.35"
"468",12.04,86.05,10.57,0.24,"59","54.34","63","58.02","770.88","4328.73"
"469",0.26,94.07,53.28,2.89,"36","39.77","10","11.05","157.99","3935.3"
"470",0.67,98.16,3.68,0.21,"7","18.71","20","53.45","374.18","6406.52"
"472",1.46,96.5,0,0,"16","138.7","9","78.02","468.1","4776.35"
"474",6.49,81.8,45.08,5.17,"12","41.11","3","10.28","352.88","7276.96"
"475",26.68,67.65,23.03,0.97,"25","43.02","8","13.77","533.46","5551.44"
"476",0.08,99.14,9.9,0.26,"3","26.28","0","0","70.08","2531.53"
"477",5.26,91.28,13.61,2.04,"11","13.29","11","13.29","305.77","5248.85"
"478",1.72,96.87,16.85,0.27,"12","34.3","17","48.59","122.91","3126.97"
"479",1.3,97.48,6.1,0.21,"2","12.85","0","0","571.65","3706.08"
"480",2.71,93.43,25.04,6.02,"0","0","4","37.95","47.43","2921.92"
"481",2.31,96.22,9.87,0.33,"0","0","2","9.24","9.24","1223.96"
"482",4.42,94.79,6.82,0.08,"5","20.77","0","0","1121.64","5014.12"
"483",1.16,96.55,14.76,0.21,"3","11.08","1","3.69","195.71","2802.7"
"484",65.57,33.57,24.79,0.23,"5","39.05","4","31.24","851.23","5138.62"
"486",12.84,72.11,26.73,1.98,"393","77.69","440","86.98","1038.27","6915.98"
"487",10.16,63.76,19.07,3.65,"2","19.2","1","9.6","499.33","2669.48"
"488",0.8,97.85,35.2,1.05,"0","0","0","0","310.85","1318.76"
"489",1.78,90.19,10.07,0.22,"24","56","8","18.67","331.36","3903.95"
"490",6.72,69.91,21.36,3.68,"26","32.88","46","58.18","599.49","5782.44"
"491",0.13,98.56,8.72,0.09,"4","26.77","1","6.69","260.97","5366.7"
"492",1.01,97.13,19.01,1.13,"5","12.1","13","31.45","87.1","2893.5"
"493",3.29,94.96,24.09,0.47,"8","19.48","9","21.91","477.21","4535.94"
"494",1.15,78.25,23.42,6.15,"4","19.07","3","14.3","290.85","2550.9"
"495",18.06,79.32,12.03,0.31,"21","38.35","18","32.87","1073.8","6101.28"
"497",12.24,70.87,18.43,0.76,"45","77.83","30","51.89","875.19","6934.07"
"498",41.64,57.3,17.03,0.15,"30","41.17","14","19.21","889.17","5763.14"
"499",1.9,95.3,14.59,0.98,"0","0","0","0","351.8","775.57"
"500",1.11,97.96,24.77,0.43,"4","28.22","3","21.17","536.23","2173.15"
"501",0.77,71.48,33.32,9.2,"4","7.86","21","41.25","398.76","4482.6"
"502",4.72,93.76,9.9,0.74,"3","11.32","0","0","200.02","1377.51"
"503",46.92,52.36,32.91,0.28,"19","48.06","15","37.94","1449.39","10937.42"
"505",4.03,54.48,34.09,10.59,"31","78.18","10","25.22","950.75","7159.61"
"506",12.83,84.25,40.55,1.33,"30","63.88","19","40.46","1239.22","4682.21"
"507",1.44,89.99,24.05,2.5,"3","14.09","7","32.88","103.33","2014.94"
"508",43.71,54.35,20.47,0.42,"10","52.71","9","47.44","326.81","5998.63"
"509",0.59,91.36,61.69,4.83,"9","24.4","1","2.71","89.45","3588.95"
"512",33.57,62.58,21.49,0.88,"103","56.93","63","34.82","845.63","5590.56"
"513",28.05,71.62,44.9,0.15,"1","6.57","0","0","341.75","900.37"
"514",3.04,95.25,8.34,0.64,"2","8.61","1","4.31","103.35","2381.26"
"515",9.5,69.05,28.31,3.96,"8","33.94","89","377.61","895.24","5965.46"
"516",2.69,70.79,16.8,2.81,"4","22.19","0","0","1647.53","6002.11"
"517",8.69,90.79,0,0,"0","0","0","0","62.14","675.73"
"518",45,50.05,36.73,0.46,"8","59.96","14","104.92","936.82","8086.64"
"519",1.84,73.12,34.81,2.28,"5","39.97","0","0","295.76","3469.22"
"521",5.32,84.02,17.17,1.6,"8","29.45","6","22.09","261.4","3700.16"
"522",0.42,98.11,7.45,0.26,"3","14.28","3","14.28","114.23","1975.16"
"523",5.14,86.58,19.06,0.81,"11","73.71","25","167.52","683.46","4670.33"
"524",2,40.85,28.82,13.52,"19","22.4","33","38.9","544.59","4062"
"525",6.2,93.17,23.36,0.23,"14","36.6","35","91.49","1280.84","4561.38"
"526",33.04,64.94,20.49,0.75,"26","73.4","75","211.74","1428.53","6575.2"
"527",1.92,95.28,38.54,1.19,"8","58.06","3","21.77","137.89","2590.9"
"528",26.53,72.89,33.96,0.17,"3","24.93","0","0","1329.57","5675.59"
"529",1.2,93.59,17.12,2.28,"1","5.29","0","0","116.35","3601.46"
"530",0.79,97.97,7.92,0.33,"17","19.83","48","56","423.52","4252.66"
"531",0.79,98.28,18.2,0.86,"0","0","0","0","210.18","1719.69"
"532",2.23,88.14,19.37,2.71,"11","24.24","7","15.43","152.07","3321.36"
"533",7.68,86.25,27.51,1.14,"66","87.51","23","30.5","690.79","7070.97"
"535",0.32,98.08,4.34,0.14,"5","24.55","18","88.37","122.74","4217.19"
"536",0.93,95.98,16.89,1.15,"4","14.32","1","3.58","53.7","1908.07"
"537",0.39,87.04,30.65,2.4,"8","64.75","5","40.47","493.73","9307.97"
"538",4.03,91.16,54.9,3.73,"20","31.69","5","7.92","815.98","3669.55"
"539",5.03,72.73,38.3,8.82,"10","15.12","21","31.75","411.23","6018.78"
"541",4.24,90.72,47.14,2.69,"99","50.47","56","28.55","321.68","5118.88"
"542",19.72,72.71,51.32,2.66,"2","17.7","1","8.85","1300.88","4699.12"
"544",0.73,97.5,10.26,0.39,"4","35.61","4","35.61","80.12","3071.31"
"547",0.6,97.42,7.63,0.51,"2","5.74","5","14.35","421.75","3534.64"
"548",1.37,98.07,0,0,"1","8.29","0","0","66.33","3523.75"
"549",74.45,21.07,36.98,2.35,"27","117.73","0","0","1874.95","14131.86"
"550",19.85,65.54,25.69,9.48,"42","39.31","23","21.53","1311.2","7568.62"
"551",6.75,92.48,0,0,"7","40.88","5","29.2","292","3071.89"
"552",20.9,74.96,20.69,0.77,"87","92.99","0","0","1130.86","3814.79"
"554",36.01,41.15,28.56,7.17,"78","56.11","113","81.29","1571.14","6672.33"
"555",30.92,65.53,15.5,0.58,"36","123.33","11","37.68","887.29","7276.46"
"557",4.07,93.09,14.29,0.69,"3","25.97","1","8.66","207.79","2839.83"
"558",0.83,91.77,7.41,0.81,"1","5.71","2","11.43","51.42","2205.46"
"559",23.65,75.76,56.25,0.35,"2","19.31","1","9.65","241.31","4662.16"
"560",8.7,67.75,24.35,4.01,"79","75.77","42","40.28","1333.23","4883.08"
"561",0.29,48.24,33.53,7.51,"11","84.5","5","38.41","944.85","11622.37"
"562",0.01,98.55,25.78,0.29,"4","28.93","1","7.23","108.49","3681.47"
"564",44.43,54.58,10.61,0.13,"3","25.61","4","34.14","1724.14","12666.44"
"565",0.42,98.73,1.69,0.04,"4","24.45","10","61.12","61.12","2573.19"
"566",10.93,87.31,3.2,0.04,"2","15.59","0","0","179.32","2541.71"
"567",0.16,97.72,5.43,0.05,"11","78.1","4","28.4","198.79","4195.95"
"569",0.22,96.82,27.24,0.86,"12","66.79","15","83.49","322.81","7446.99"
"570",0.55,98.33,1.72,0.06,"1","8.88","4","35.52","124.32","5834.3"
"571",0.81,94.59,21.91,2.55,"1","8.49","1","8.49","84.88","3140.65"
"572",0.75,95.34,51.71,1.16,"7","54.14","3","23.2","170.15","3480.28"
"573",0.06,97.1,25.55,0.29,"0","0","0","0","74.96","2657"
"574",2.23,86.5,30.38,4.04,"32","37.37","41","47.88","223.06","5492.49"
"575",0.63,97.64,31.8,0.72,"0","0","3","25.83","103.33","5967.45"
"576",0.64,95.5,7.26,0.32,"11","52.95","5","24.07","245.51","4178.5"
"577",12.22,83.06,45.29,2.95,"5","44.87","0","0","358.97","4549.94"
"578",1.8,94.81,39.22,3.49,"3","8.97","1","2.99","505.1","1736.45"
"580",2.27,73.14,36.61,11.3,"9","29.71","34","112.25","997.03","6857.05"
"581",7.02,91.7,18.8,0.67,"1","9.52","1","9.52","295.04","2217.57"
"582",6.57,91.08,45.14,1.09,"7","20.83","9","26.78","151.78","4264.75"
"583",1.27,96.77,9.41,0.9,"2","6.15","0","0","64.61","4335.25"
"584",43.89,53.95,34.54,1.03,"177","77.28","158","68.99","2978.69","13039.07"
"586",0.07,98.16,24.35,0.16,"9","49.3","2","10.96","158.85","4015.12"
"587",30.21,69.48,35.38,0.2,"7","49.15","0","0","1390.25","6593.18"
"589",1.09,98.33,12.89,0.16,"12","51.82","7","30.23","133.87","2996.93"
"590",4.22,77.43,31.38,8.69,"8","52.97","0","0","1483.15","5038.73"
"591",0.39,59.45,38.38,10.9,"8","47.15","3","17.68","724.94","5216.01"
"592",15.46,83.11,5.79,0.16,"25","69.26","15","41.56","872.72","11109.88"
"593",5.61,91.38,25.78,1.08,"3","15.26","16","81.37","300.04","3951.38"
"594",26.72,64.71,18.17,0.95,"19","64.32","1","3.39","744.75","3930.26"
"595",0,99.17,0,0,"0","0","3","25.93","267.96","4295.96"
"597",7.45,78.71,11.37,0.69,"19","62.77","3","9.91","1318.22","7522.8"
"598",0.25,66.05,24.7,7.07,"0","0","4","29.46","198.88","1996.17"
"599",0.48,98.46,18.82,0.54,"3","12.83","3","12.83","72.71","2993.76"
"600",4.48,94.6,19.2,0.32,"2","8.18","9","36.79","102.2","2959.81"
"602",51.88,17.4,32.37,9.35,"68","61.46","60","54.23","2078.85","5569.51"
"603",1.27,97.54,19.75,0.23,"1","6.95","6","41.69","62.53","5822.68"
"604",1.96,97.49,3.99,0.09,"1","4.64","0","0","427.27","4230.91"
"605",3.11,69.82,20,4.69,"4","16.02","47","188.27","348.5","3633.23"
"606",57.78,41.56,5.04,0.05,"20","77.9","21","81.8","1336.03","10571.42"
"607",0.47,94.22,32.01,0.77,"62","59.88","9","8.69","435.6","4114.51"
"608",1,93.31,27.35,1.27,"1","7.29","1","7.29","196.79","4810.5"
"609",13.57,79.35,26.88,0.81,"339","89.88","249","66.02","1304.78","6544.31"
"610",17.62,65.95,28.41,5.2,"8","16.31","3","6.11","313.89","2631.36"
"611",3.17,93.5,23.64,2.67,"9","26.22","0","0","1678.08","4253.46"
"612",0.86,97.25,11.04,1.58,"2","11.19","0","0","151.13","1354.53"
"613",1,97.72,5.72,0.31,"3","7.48","1","2.49","184.39","2554.01"
"614",9.65,77.61,46.41,8.46,"3","16.65","2","11.1","127.65","3446.55"
"615",0.18,97.33,24.35,0.16,"4","21.14","18","95.15","375.3","5079.82"
"616",0.97,96.97,22.11,1.5,"33","33.62","28","28.53","223.14","5388.97"
"617",1.04,98.08,5.67,0.13,"3","8.74","2","5.82","58.24","1243.34"
"618",24.9,70.94,3.66,0.18,"12","88.53","4","29.51","1032.91","5267.82"
"619",0.69,98.39,8.37,0.29,"0","0","0","0","566.68","2172.27"
"620",8.45,90.6,14.29,0.16,"17","97.27","19","108.71","457.72","8759.58"
"621",0.35,99.08,18.3,0.41,"10","92.17","0","0","645.16","1004.61"
"622",5.52,93.2,24.77,0.41,"4","27.37","13","88.94","485.77","6499.73"
"623",0.75,94.89,32.51,2.55,"0","0","1","8.05","209.22","1335.8"
"624",13.64,83.98,15.41,0.4,"2","18.73","1","9.36","280.93","11021.63"
"625",17.59,81.3,6.19,0.09,"2","11.48","8","45.93","281.32","4638.88"
"626",1.15,84.64,21.54,3.56,"2","14.27","2","14.27","99.9","1705.44"
"627",6.71,92.34,20.71,0.24,"8","25.07","14","43.88","316.55","6255.88"
"628",0.76,97.48,5.63,0.12,"1","8.47","2","16.95","355.9","1491.4"
"629",0.08,99.33,5.28,0.1,"1","4.97","1","4.97","29.8","1217.03"
"630",0.99,93.95,44.44,2.35,"0","0","12","83.73","286.09","4340.24"
"631",2.29,89.5,25.58,1.9,"0","0","2","8.04","44.22","2235.18"
"633",14.43,57.02,32.01,10.11,"81","56.02","389","269.03","1627.33","5693.22"
"634",0.22,96.37,40.43,1.09,"8","23.99","6","18","110.97","4975.71"
"635",2.56,81.68,16.24,1.04,"40","82.84","24","49.71","816.02","6677.3"
"637",1.7,96.9,15.14,0.59,"0","0","0","0","138.91","2241.7"
"638",0.88,87.54,38.02,3.4,"4","35.55","1","8.89","177.73","5936.19"
"639",16.71,78.47,59.52,3.84,"2","14.28","0","0","585.46","6568.61"
"641",33.98,64.68,29.36,0.61,"215","118.9","174","96.23","3255.71","12364.16"
"642",52.56,46.93,7.64,0.07,"5","26.63","10","53.27","591.24","7995.1"
"643",0.82,91.82,19.23,0.66,"11","33.8","19","58.38","577.61","8249.35"
"644",8.68,76.02,28.29,1.6,"7","49.28","1","7.04","288.65","2970.99"
"645",1.16,49.83,20.26,0.97,"24","118.01","12","59","1607.83","11977.58"
"647",14.11,79.77,14.17,1.49,"23","49.58","39","84.06","581.98","5701.29"
"648",0.03,98.01,8.17,0.14,"3","19.13","1","6.38","44.64","4591.25"
"649",6.45,91.2,12.48,0.57,"1","8.34","0","0","141.75","3985.66"
"650",34.35,62.67,21.44,0.5,"98","144.36","11","16.2","2264.09","11491.32"
"651",31.88,62.42,26.29,9.77,"28","51.55","13","23.93","1818.82","10855.84"
"652",0.56,95.37,11.95,0.37,"9","14.85","17","28.04","138.56","3294.13"
"653",0.54,98.76,8.55,0.07,"7","30.73","0","0","122.9","3256.96"
"654",0.55,98.55,5.75,0.2,"4","20.24","3","15.18","75.88","1365.91"
"655",22.62,76.87,0,0,"1","7.92","0","0","324.52","2857.37"
"656",31.56,67.76,0,0,"2","18.2","7","63.69","1264.79","5996.36"
"657",14.69,80.5,7.57,0.31,"3","8.36","7","19.5","559.86","5439.81"
"658",0.64,97.97,7.88,0.15,"0","0","0","0","21.66","2642.98"
"660",1.76,95.02,18.96,1.31,"1","7.24","0","0","188.13","1960.93"
"661",0.56,98.14,7.78,0.2,"1","7.7","4","30.81","169.44","5460.57"
"662",55.75,43.57,40.73,0.42,"173","88.66","145","74.31","1424.74","11722.35"
"663",3.84,66,33.83,9.98,"17","39.25","12","27.71","658.05","4167.63"
"664",0.33,98.5,16.57,0.74,"0","0","2","12.67","82.38","1907.48"
"665",7.95,91.12,10.99,0.2,"4","26.21","3","19.66","281.76","2974.9"
"667",39.47,49.16,23.34,5.79,"9","35.97","1","4","623.55","4592.69"
"668",40.43,58.37,18,0.26,"269","150.01","260","144.99","1629.43","9465.95"
"669",5.75,74.14,19.24,3.3,"25","35.8","29","41.52","904.94","7150.73"
"670",10.13,88.55,18.32,0.43,"4","30.79","0","0","153.93","2285.85"
"671",0.36,93.48,15.06,0.26,"3","19.83","0","0","198.28","4586.91"
"672",1.35,95.71,17.67,0.35,"11","76.68","1","6.97","223.06","4642.41"
"673",17.84,80.61,13.11,0.26,"13","57.59","0","0","699.98","7323.23"
"674",4.2,93.96,18.46,0.83,"1","7.93","2","15.86","71.35","4043.13"
"675",19.03,73.65,28.91,6.12,"7","14.09","4","8.05","366.34","5410.63"
"676",10.97,81.31,7.69,0.22,"19","79.5","2","8.37","292.91","4946.02"
"678",12.05,87,25.17,0.32,"3","21.07","0","0","252.9","5212.5"
"680",3.04,94.32,27.37,1.3,"0","0","2","13.86","408.98","4817.69"
"681",0.41,88.97,11.25,1.48,"6","21.17","11","38.81","105.84","2007.34"
"682",1.33,91.88,18.18,0.2,"5","38.28","6","45.94","145.47","2802.24"
"683",5.86,52.11,24.9,7.66,"18","32.02","4","7.12","327.36","4109.74"
"684",1.65,96.61,2.37,0.14,"0","0","3","17.49","99.13","1737.61"
"685",1.9,94.96,8.8,0.61,"5","7.01","1","1.4","68.68","1572.73"
"686",2.94,83.48,36.31,7.76,"10","20.45","24","49.09","560.45","5700.67"
"687",3.44,76.87,20.12,4.7,"281","47.61","461","78.11","1035.05","6961.87"
"688",0.5,98.95,5.97,0.16,"2","12.93","0","0","303.91","2289.04"
"689",4.46,94.67,8.88,0.14,"12","35.21","10","29.34","534.04","3060.45"
"690",0.43,98.98,3.94,0.15,"3","21.53","0","0","674.75","1636.64"
"691",45.09,54.09,37.33,0.38,"14","89.06","4","25.45","1278.63","8396.95"
"692",9,80.73,11.73,0.27,"12","75.49","18","113.24","509.56","4479.11"
"693",4.19,83.92,18.91,3.9,"0","0","1","4","151.91","1791"
"694",1.02,98.08,7.51,0.17,"1","8.77","1","8.77","70.19","3272.79"
"695",6.37,64.08,27.66,8.08,"2","10.77","2","10.77","350.03","5885.84"
"696",0.88,94.55,61.44,3.54,"4","20.61","4","20.61","159.72","2313.36"
"697",2.61,93.35,28.08,1.04,"36","100.23","7","19.49","860.27","6584.26"
"698",9.42,88.63,40.17,1.01,"31","51.04","24","39.52","321.08","6885.88"
"699",2.48,72.5,15.57,3.72,"4","18.23","16","72.94","989.2","5875.92"
"700",1.11,96.77,2.52,0.07,"7","38.13","7","38.13","403.14","5431.47"
"701",15.27,62.22,17.51,1.95,"1","8.11","6","48.69","592.34","5201.23"
"703",0.46,99.05,0,0,"5","42.17","7","59.04","101.21","3500.34"
"704",0.31,96.46,9.24,0.82,"1","8.36","1","8.36","83.56","2105.79"
"705",1.06,96.63,11.53,0.39,"1","3.4","3","10.21","125.96","2995.85"
"706",16.01,60.64,33.97,5.25,"129","70.63","144","78.85","3047.66","9248.11"
"707",3.42,90.18,26.62,9.05,"26","75.11","20","57.78","2507.51","9827.83"
"708",31.53,61.09,21.55,1.34,"159","68.91","348","150.81","1171.84","10038.61"
"709",3.57,87.49,46.78,2.02,"34","38.71","10","11.39","230","4965.56"
"710",4.77,88.62,13.18,0.67,"1","3.71","25","92.69","140.88","2828.75"
"711",0.46,95.69,21.45,0.73,"5","45.5","7","63.69","282.07","5050.05"
"712",2.39,81.07,32.65,5.36,"49","50.74","166","171.88","1274.62","7762.64"
"713",7.1,85.31,13.04,0.57,"22","69.83","5","15.87","384.08","2482.22"
"714",7.94,76.92,13.46,0.43,"21","34.02","21","34.02","933.19","7180.35"
"715",23.5,68.77,51.8,4.6,"8","40.25","11","55.34","1232.52","7787.5"
"716",1.09,97.64,17.73,0.92,"9","40.09","7","31.18","445.41","4164.63"
"717",3.37,93.69,3.07,0.17,"0","0","0","0","58.37","1916.34"
"718",7.89,89.13,26.83,0.66,"65","66.73","66","67.75","1565.55","8078.23"
"719",27.58,69.18,40.77,2.05,"94","39.02","29","12.04","842.7","5502.07"
"720",0.29,96,71.53,3.6,"1","6.72","1","6.72","53.73","4103.43"
"721",56.42,19,35.54,1.4,"90","108.05","306","367.36","3530.78","12109.83"
"722",0.47,98.97,11.76,0.18,"1","6.64","0","0","6.64","1592.89"
"723",0.99,62.23,33.35,16.15,"45","42.78","74","70.35","1318.6","4576.61"
"724",0.56,97.98,17.36,0.81,"6","30.4","5","25.34","91.21","2153.53"
"725",12.43,70.56,33.96,2.89,"271","53.98","610","121.51","599.78","9773.95"
"726",3.35,89.44,20.27,2.38,"3","5.1","20","33.99","141.06","2659.71"
"727",6.34,92.68,37.41,0.31,"9","49.29","10","54.76","657.14","6149.72"
"729",43.14,56.11,22.09,0.26,"19","81.83","3","12.92","2885.57","5977.86"
"730",4.18,74.12,21.15,0.57,"3","24.22","1","8.07","750.73","2542.78"
"731",8.04,90.62,10.22,1.09,"9","45.73","0","0","985.82","4019.51"
"732",0.5,93.04,21.18,0.95,"7","25.5","11","40.08","142.09","4080.44"
"733",0.95,94.72,19.55,2.36,"0","0","1","8.98","98.73","1337.28"
"735",1.62,97.38,15.49,0.19,"2","17.66","7","61.81","105.96","5792.49"
"736",24.27,74.59,26.14,0.41,"32","32.78","57","58.39","578.8","5007.38"
"737",29.59,66.78,19.83,0.56,"515","115.59","527","118.28","2460.11","10039.52"
"739",1.4,97.26,13.55,0.45,"8","40.1","15","75.18","205.49","5117.28"
"740",3.25,55.83,23.74,6.71,"33","32.59","21","20.74","1174.32","4015.8"
"741",14.11,76.21,20.52,4.15,"34","18.56","89","48.59","737.62","4494.53"
"742",2.9,94.38,27.46,3.66,"21","31.14","7","10.38","360.34","5492.62"
"744",0.73,96.33,32.27,0.91,"4","24.85","6","37.27","105.6","3217.59"
"745",1.22,90.4,24.01,3.25,"22","19.72","50","44.83","305.72","2631.37"
"747",58.24,40.93,7.14,0.07,"18","99.5","0","0","2089.44","9833.62"
"748",47.44,50.33,33.55,0.64,"20","43.66","12","26.2","1477.94","7734.63"
"749",4.7,62.8,28.53,7.55,"391","47.52","318","38.65","646.17","3857.83"
"750",2.13,96.03,17.51,0.57,"2","15.35","2","15.35","130.44","2654.8"
"751",9.9,83.97,14.51,1.12,"4","10.05","0","0","190.95","2756.14"
"753",0.81,77.09,11.72,0.19,"50","135.2","14","37.86","816.61","6800.61"
"754",3.94,93.73,26.74,1.52,"0","0","6","21.05","105.23","1918.69"
"755",17.01,81.68,51.43,0.64,"5","31.4","3","18.84","583.99","3679.75"
"756",0.41,31.36,26.85,15.6,"3","10.91","9","32.74","865.9","2670.45"
"757",0.73,96.91,7.15,0.27,"9","53.34","1","5.93","349.65","3662.44"
"758",1.4,97.36,21.81,0.35,"4","21.49","3","16.12","161.19","3868.68"
"759",1.04,92.63,12.28,1.42,"0","0","1","8.37","92.04","1773.91"
"761",45.63,53.11,25.95,0.61,"42","91.64","10","21.82","3414.57","11646.63"
"762",0.29,98.96,4.06,0.15,"3","20.3","3","20.3","155.67","2260.58"
"764",5.27,74.08,24.98,2.46,"5","14.64","8","23.43","676.45","5294.44"
"765",31.78,65.61,31.52,1.2,"356","65.42","389","71.49","1787.2","7428.52"
"766",0.54,95.58,10.74,0.45,"2","15.29","8","61.15","68.8","3730.32"
"767",20.56,78.6,39.27,0.48,"5","15.9","16","50.89","728.37","5655.22"
"768",33.67,64.97,23.39,0.39,"154","99.59","96","62.08","1960.67","8666.52"
"769",1.4,93.83,10.35,1.14,"4","30.18","1","7.54","286.66","4277.31"
"770",4.97,79.18,13.76,1.99,"0","0","5","15.9","216.2","3634.11"
"771",0.82,91.75,3.63,0.06,"0","0","2","14.39","86.34","3144.34"
"772",3.54,94.3,17.95,0.61,"3","8.43","4","11.24","137.66","2778.4"
"773",0.41,98.7,4.93,0.12,"0","0","7","47.58","20.39","1549.65"
"774",0.2,98.33,41.97,0.49,"3","17.55","3","17.55","988.71","2983.68"
"775",39.06,59.75,22.41,0.2,"3","18.75","0","0","393.73","3049.81"
