,rapes,rapesPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop,imputed_rapes,imputed_rapesR,imputed_ViolentCrimesPerPop,ViolentCrimesPerPopR,imputed_arsons,arsonsR,imputed_arsonsPerPop,arsonsPerPopR,imputed_nonViolPerPop,nonViolPerPopR,imputed_rapesPerPop,rapesPerPopR,,,,imputed_rapes,imputed_ViolentCrimesPerPop,imputed_arsons,imputed_arsonsPerPop,imputed_nonViolPerPop,imputed_rapesPerPop,
505,31,78.18,10,25.22,950.75,7159.61,31,31,950.75,950.75,10,10,25.22,25.22,7159.61,7159.61,78.18,78.18,,,,31,950.75,10,25.22,7159.61,78.18,
506,30,63.88,19,40.46,1239.22,4682.21,30,30,1239.22,1239.22,19,19,40.46,40.46,4682.21,4682.21,63.88,63.88,,,,30,1239.22,19,40.46,4682.21,63.88,
507,3,14.09,7,32.88,103.33,2014.94,3,3,103.33,103.33,7,7,32.88,32.88,2014.94,2014.94,14.09,14.09,,,,3,103.33,7,32.88,2014.94,14.09,
508,10,52.71,9,47.44,326.81,5998.63,10,10,326.81,326.81,9,9,47.44,47.44,5998.63,5998.63,52.71,52.71,,,,10,326.81,9,47.44,5998.63,52.71,
509,9,24.4,1,2.71,89.45,3588.95,9,9,89.45,89.45,1,1,2.71,2.71,3588.95,3588.95,24.4,24.4,,,,9,89.45,1,2.71,3588.95,24.4,
510,1,4,NA,NA,187.87,NA,1,1,187.87,187.87,0,0,0,3.44,2246.14,5473.6,4,4,,,,1,187.87,0,0,2246.14,4,
511,NA,NA,3,9.46,NA,6946.59,0,2,223.06,224.8,3,3,9.46,9.46,6946.59,6946.59,0,55.6,,,,0,223.06,3,9.46,6946.59,0,
512,103,56.93,63,34.82,845.63,5590.56,103,103,845.63,845.63,63,63,34.82,34.82,5590.56,5590.56,56.93,56.93,,,,103,845.63,63,34.82,5590.56,56.93,
513,1,6.57,0,0,341.75,900.37,1,1,341.75,341.75,0,0,0,0,900.37,900.37,6.57,6.57,,,,1,341.75,0,0,900.37,6.57,
514,2,8.61,1,4.31,103.35,2381.26,2,2,103.35,103.35,1,1,4.31,4.31,2381.26,2381.26,8.61,8.61,,,,2,103.35,1,4.31,2381.26,8.61,
515,8,33.94,89,377.61,895.24,5965.46,8,8,895.24,895.24,89,89,377.61,377.61,5965.46,5965.46,33.94,33.94,,,,8,895.24,89,377.61,5965.46,33.94,
516,4,22.19,0,0,1647.53,6002.11,4,4,1647.53,1647.53,0,0,0,0,6002.11,6002.11,22.19,22.19,,,,4,1647.53,0,0,6002.11,22.19,
517,0,0,0,0,62.14,675.73,0,0,62.14,62.14,0,0,0,0,675.73,675.73,0,0,,,,0,62.14,0,0,675.73,0,
518,8,59.96,14,104.92,936.82,8086.64,8,8,936.82,936.82,14,14,104.92,104.92,8086.64,8086.64,59.96,59.96,,,,8,936.82,14,104.92,8086.64,59.96,
519,5,39.97,0,0,295.76,3469.22,5,5,295.76,295.76,0,0,0,0,3469.22,3469.22,39.97,39.97,,,,5,295.76,0,0,3469.22,39.97,
520,NA,NA,11,47.58,NA,8234.94,0,19,223.06,293.41,11,11,47.58,47.58,8234.94,8234.94,0,45.31,,,,0,223.06,11,47.58,8234.94,0,
521,8,29.45,6,22.09,261.4,3700.16,8,8,261.4,261.4,6,6,22.09,22.09,3700.16,3700.16,29.45,29.45,,,,8,261.4,6,22.09,3700.16,29.45,
522,3,14.28,3,14.28,114.23,1975.16,3,3,114.23,114.23,3,3,14.28,14.28,1975.16,1975.16,14.28,14.28,,,,3,114.23,3,14.28,1975.16,14.28,
523,11,73.71,25,167.52,683.46,4670.33,11,11,683.46,683.46,25,25,167.52,167.52,4670.33,4670.33,73.71,73.71,,,,11,683.46,25,167.52,4670.33,73.71,
524,19,22.4,33,38.9,544.59,4062,19,19,544.59,544.59,33,33,38.9,38.9,4062,4062,22.4,22.4,,,,19,544.59,33,38.9,4062,22.4,
525,14,36.6,35,91.49,1280.84,4561.38,14,14,1280.84,1280.84,35,35,91.49,91.49,4561.38,4561.38,36.6,36.6,,,,14,1280.84,35,91.49,4561.38,36.6,
526,26,73.4,75,211.74,1428.53,6575.2,26,26,1428.53,1428.53,75,75,211.74,211.74,6575.2,6575.2,73.4,73.4,,,,26,1428.53,75,211.74,6575.2,73.4,
527,8,58.06,3,21.77,137.89,2590.9,8,8,137.89,137.89,3,3,21.77,21.77,2590.9,2590.9,58.06,58.06,,,,8,137.89,3,21.77,2590.9,58.06,
528,3,24.93,0,0,1329.57,5675.59,3,3,1329.57,1329.57,0,0,0,0,5675.59,5675.59,24.93,24.93,,,,3,1329.57,0,0,5675.59,24.93,
529,1,5.29,0,0,116.35,3601.46,1,1,116.35,116.35,0,0,0,0,3601.46,3601.46,5.29,5.29,,,,1,116.35,0,0,3601.46,5.29,
530,17,19.83,48,56,423.52,4252.66,17,17,423.52,423.52,48,48,56,56,4252.66,4252.66,19.83,19.83,,,,17,423.52,48,56,4252.66,19.83,
531,0,0,0,0,210.18,1719.69,0,0,210.18,210.18,0,0,0,0,1719.69,1719.69,0,0,,,,0,210.18,0,0,1719.69,0,
532,11,24.24,7,15.43,152.07,3321.36,11,11,152.07,152.07,7,7,15.43,15.43,3321.36,3321.36,24.24,24.24,,,,11,152.07,7,15.43,3321.36,24.24,
533,66,87.51,23,30.5,690.79,7070.97,66,66,690.79,690.79,23,23,30.5,30.5,7070.97,7070.97,87.51,87.51,,,,66,690.79,23,30.5,7070.97,87.51,
534,480,87.16,NA,NA,1968.89,NA,480,480,1968.89,1968.89,0,6,0,28.63,2246.14,4632.6,87.16,87.16,,,,480,1968.89,0,0,2246.14,87.16,
535,5,24.55,18,88.37,122.74,4217.19,5,5,122.74,122.74,18,18,88.37,88.37,4217.19,4217.19,24.55,24.55,,,,5,122.74,18,88.37,4217.19,24.55,
536,4,14.32,1,3.58,53.7,1908.07,4,4,53.7,53.7,1,1,3.58,3.58,1908.07,1908.07,14.32,14.32,,,,4,53.7,1,3.58,1908.07,14.32,
537,8,64.75,5,40.47,493.73,9307.97,8,8,493.73,493.73,5,5,40.47,40.47,9307.97,9307.97,64.75,64.75,,,,8,493.73,5,40.47,9307.97,64.75,
538,20,31.69,5,7.92,815.98,3669.55,20,20,815.98,815.98,5,5,7.92,7.92,3669.55,3669.55,31.69,31.69,,,,20,815.98,5,7.92,3669.55,31.69,
539,10,15.12,21,31.75,411.23,6018.78,10,10,411.23,411.23,21,21,31.75,31.75,6018.78,6018.78,15.12,15.12,,,,10,411.23,21,31.75,6018.78,15.12,
540,7,25.27,3,10.83,NA,2480.23,7,7,223.06,1218.85,3,3,10.83,10.83,2480.23,2480.23,25.27,25.27,,,,7,223.06,3,10.83,2480.23,25.27,
541,99,50.47,56,28.55,321.68,5118.88,99,99,321.68,321.68,56,56,28.55,28.55,5118.88,5118.88,50.47,50.47,,,,99,321.68,56,28.55,5118.88,50.47,
542,2,17.7,1,8.85,1300.88,4699.12,2,2,1300.88,1300.88,1,1,8.85,8.85,4699.12,4699.12,17.7,17.7,,,,2,1300.88,1,8.85,4699.12,17.7,
543,NA,NA,14,34.42,NA,5030.12,0,1,223.06,1240.39,14,14,34.42,34.42,5030.12,5030.12,0,14.28,,,,0,223.06,14,34.42,5030.12,0,
544,4,35.61,4,35.61,80.12,3071.31,4,4,80.12,80.12,4,4,35.61,35.61,3071.31,3071.31,35.61,35.61,,,,4,80.12,4,35.61,3071.31,35.61,
545,NA,NA,22,92.68,NA,5906.14,0,26,223.06,61.33,22,22,92.68,92.68,5906.14,5906.14,0,48.89,,,,0,223.06,22,92.68,5906.14,0,
546,NA,NA,0,0,NA,4261.51,0,11,223.06,136.48,0,0,0,0,4261.51,4261.51,0,10.01,,,,0,223.06,0,0,4261.51,0,
547,2,5.74,5,14.35,421.75,3534.64,2,2,421.75,421.75,5,5,14.35,14.35,3534.64,3534.64,5.74,5.74,,,,2,421.75,5,14.35,3534.64,5.74,
548,1,8.29,0,0,66.33,3523.75,1,1,66.33,66.33,0,0,0,0,3523.75,3523.75,8.29,8.29,,,,1,66.33,0,0,3523.75,8.29,
549,27,117.73,0,0,1874.95,14131.86,27,27,1874.95,1874.95,0,0,0,0,14131.86,14131.86,117.73,117.73,,,,27,1874.95,0,0,14131.86,117.73,
550,42,39.31,23,21.53,1311.2,7568.62,42,42,1311.2,1311.2,23,23,21.53,21.53,7568.62,7568.62,39.31,39.31,,,,42,1311.2,23,21.53,7568.62,39.31,
551,7,40.88,5,29.2,292,3071.89,7,7,292,292,5,5,29.2,29.2,3071.89,3071.89,40.88,40.88,,,,7,292,5,29.2,3071.89,40.88,
552,87,92.99,0,0,1130.86,3814.79,87,87,1130.86,1130.86,0,0,0,0,3814.79,3814.79,92.99,92.99,,,,87,1130.86,0,0,3814.79,92.99,
553,NA,NA,2,12.62,NA,2833.17,0,0,223.06,121.02,2,2,12.62,12.62,2833.17,2833.17,0,12.41,,,,0,223.06,2,12.62,2833.17,0,
554,78,56.11,113,81.29,1571.14,6672.33,78,78,1571.14,1571.14,113,113,81.29,81.29,6672.33,6672.33,56.11,56.11,,,,78,1571.14,113,81.29,6672.33,56.11,
555,36,123.33,11,37.68,887.29,7276.46,36,36,887.29,887.29,11,11,37.68,37.68,7276.46,7276.46,123.33,123.33,,,,36,887.29,11,37.68,7276.46,123.33,
556,2,9.39,NA,NA,65.71,NA,2,2,65.71,65.71,0,15,0,12.17,2246.14,4484.42,9.39,9.39,,,,2,65.71,0,0,2246.14,9.39,
557,3,25.97,1,8.66,207.79,2839.83,3,3,207.79,207.79,1,1,8.66,8.66,2839.83,2839.83,25.97,25.97,,,,3,207.79,1,8.66,2839.83,25.97,
558,1,5.71,2,11.43,51.42,2205.46,1,1,51.42,51.42,2,2,11.43,11.43,2205.46,2205.46,5.71,5.71,,,,1,51.42,2,11.43,2205.46,5.71,
559,2,19.31,1,9.65,241.31,4662.16,2,2,241.31,241.31,1,1,9.65,9.65,4662.16,4662.16,19.31,19.31,,,,2,241.31,1,9.65,4662.16,19.31,
560,79,75.77,42,40.28,1333.23,4883.08,79,79,1333.23,1333.23,42,42,40.28,40.28,4883.08,4883.08,75.77,75.77,,,,79,1333.23,42,40.28,4883.08,75.77,
561,11,84.5,5,38.41,944.85,11622.37,11,11,944.85,944.85,5,5,38.41,38.41,11622.37,11622.37,84.5,84.5,,,,11,944.85,5,38.41,11622.37,84.5,
562,4,28.93,1,7.23,108.49,3681.47,4,4,108.49,108.49,1,1,7.23,7.23,3681.47,3681.47,28.93,28.93,,,,4,108.49,1,7.23,3681.47,28.93,
563,NA,NA,5,26.33,NA,5224.08,0,7,223.06,524.67,5,5,26.33,26.33,5224.08,5224.08,0,23,,,,0,223.06,5,26.33,5224.08,0,
564,3,25.61,4,34.14,1724.14,12666.44,3,3,1724.14,1724.14,4,4,34.14,34.14,12666.44,12666.44,25.61,25.61,,,,3,1724.14,4,34.14,12666.44,25.61,
565,4,24.45,10,61.12,61.12,2573.19,4,4,61.12,61.12,10,10,61.12,61.12,2573.19,2573.19,24.45,24.45,,,,4,61.12,10,61.12,2573.19,24.45,
566,2,15.59,0,0,179.32,2541.71,2,2,179.32,179.32,0,0,0,0,2541.71,2541.71,15.59,15.59,,,,2,179.32,0,0,2541.71,15.59,
567,11,78.1,4,28.4,198.79,4195.95,11,11,198.79,198.79,4,4,28.4,28.4,4195.95,4195.95,78.1,78.1,,,,11,198.79,4,28.4,4195.95,78.1,
568,NA,NA,17,42.33,NA,3072.56,0,257,223.06,333.19,17,17,42.33,42.33,3072.56,3072.56,0,14.52,,,,0,223.06,17,42.33,3072.56,0,
569,12,66.79,15,83.49,322.81,7446.99,12,12,322.81,322.81,15,15,83.49,83.49,7446.99,7446.99,66.79,66.79,,,,12,322.81,15,83.49,7446.99,66.79,
570,1,8.88,4,35.52,124.32,5834.3,1,1,124.32,124.32,4,4,35.52,35.52,5834.3,5834.3,8.88,8.88,,,,1,124.32,4,35.52,5834.3,8.88,
571,1,8.49,1,8.49,84.88,3140.65,1,1,84.88,84.88,1,1,8.49,8.49,3140.65,3140.65,8.49,8.49,,,,1,84.88,1,8.49,3140.65,8.49,
572,7,54.14,3,23.2,170.15,3480.28,7,7,170.15,170.15,3,3,23.2,23.2,3480.28,3480.28,54.14,54.14,,,,7,170.15,3,23.2,3480.28,54.14,
573,0,0,0,0,74.96,2657,0,0,74.96,74.96,0,0,0,0,2657,2657,0,0,,,,0,74.96,0,0,2657,0,
574,32,37.37,41,47.88,223.06,5492.49,32,32,223.06,223.06,41,41,47.88,47.88,5492.49,5492.49,37.37,37.37,,,,32,223.06,41,47.88,5492.49,37.37,
575,0,0,3,25.83,103.33,5967.45,0,0,103.33,103.33,3,3,25.83,25.83,5967.45,5967.45,0,0,,,,0,103.33,3,25.83,5967.45,0,
576,11,52.95,5,24.07,245.51,4178.5,11,11,245.51,245.51,5,5,24.07,24.07,4178.5,4178.5,52.95,52.95,,,,11,245.51,5,24.07,4178.5,52.95,
577,5,44.87,0,0,358.97,4549.94,5,5,358.97,358.97,0,0,0,0,4549.94,4549.94,44.87,44.87,,,,5,358.97,0,0,4549.94,44.87,
578,3,8.97,1,2.99,505.1,1736.45,3,3,505.1,505.1,1,1,2.99,2.99,1736.45,1736.45,8.97,8.97,,,,3,505.1,1,2.99,1736.45,8.97,
579,13,62.32,NA,NA,551.32,NA,13,13,551.32,551.32,0,9,0,41.25,2246.14,2540.67,62.32,62.32,,,,13,551.32,0,0,2246.14,62.32,
580,9,29.71,34,112.25,997.03,6857.05,9,9,997.03,997.03,34,34,112.25,112.25,6857.05,6857.05,29.71,29.71,,,,9,997.03,34,112.25,6857.05,29.71,
581,1,9.52,1,9.52,295.04,2217.57,1,1,295.04,295.04,1,1,9.52,9.52,2217.57,2217.57,9.52,9.52,,,,1,295.04,1,9.52,2217.57,9.52,
582,7,20.83,9,26.78,151.78,4264.75,7,7,151.78,151.78,9,9,26.78,26.78,4264.75,4264.75,20.83,20.83,,,,7,151.78,9,26.78,4264.75,20.83,
583,2,6.15,0,0,64.61,4335.25,2,2,64.61,64.61,0,0,0,0,4335.25,4335.25,6.15,6.15,,,,2,64.61,0,0,4335.25,6.15,
584,177,77.28,158,68.99,2978.69,13039.07,177,177,2978.69,2978.69,158,158,68.99,68.99,13039.07,13039.07,77.28,77.28,,,,177,2978.69,158,68.99,13039.07,77.28,
585,NA,NA,3,13.05,NA,3842.47,0,20,223.06,506.39,3,3,13.05,13.05,3842.47,3842.47,0,19.74,,,,0,223.06,3,13.05,3842.47,0,
586,9,49.3,2,10.96,158.85,4015.12,9,9,158.85,158.85,2,2,10.96,10.96,4015.12,4015.12,49.3,49.3,,,,9,158.85,2,10.96,4015.12,49.3,
587,7,49.15,0,0,1390.25,6593.18,7,7,1390.25,1390.25,0,0,0,0,6593.18,6593.18,49.15,49.15,,,,7,1390.25,0,0,6593.18,49.15,
588,NA,NA,2,8.96,NA,3293.16,0,30,223.06,235.07,2,2,8.96,8.96,3293.16,3293.16,0,75.17,,,,0,223.06,2,8.96,3293.16,0,
589,12,51.82,7,30.23,133.87,2996.93,12,12,133.87,133.87,7,7,30.23,30.23,2996.93,2996.93,51.82,51.82,,,,12,133.87,7,30.23,2996.93,51.82,
590,8,52.97,0,0,1483.15,5038.73,8,8,1483.15,1483.15,0,0,0,0,5038.73,5038.73,52.97,52.97,,,,8,1483.15,0,0,5038.73,52.97,
591,8,47.15,3,17.68,724.94,5216.01,8,8,724.94,724.94,3,3,17.68,17.68,5216.01,5216.01,47.15,47.15,,,,8,724.94,3,17.68,5216.01,47.15,
592,25,69.26,15,41.56,872.72,11109.88,25,25,872.72,872.72,15,15,41.56,41.56,11109.88,11109.88,69.26,69.26,,,,25,872.72,15,41.56,11109.88,69.26,
593,3,15.26,16,81.37,300.04,3951.38,3,3,300.04,300.04,16,16,81.37,81.37,3951.38,3951.38,15.26,15.26,,,,3,300.04,16,81.37,3951.38,15.26,
594,19,64.32,1,3.39,744.75,3930.26,19,19,744.75,744.75,1,1,3.39,3.39,3930.26,3930.26,64.32,64.32,,,,19,744.75,1,3.39,3930.26,64.32,
595,0,0,3,25.93,267.96,4295.96,0,0,267.96,267.96,3,3,25.93,25.93,4295.96,4295.96,0,0,,,,0,267.96,3,25.93,4295.96,0,
596,NA,NA,2,16.25,NA,3194.08,0,4,223.06,39.87,2,2,16.25,16.25,3194.08,3194.08,0,31.62,,,,0,223.06,2,16.25,3194.08,0,
597,19,62.77,3,9.91,1318.22,7522.8,19,19,1318.22,1318.22,3,3,9.91,9.91,7522.8,7522.8,62.77,62.77,,,,19,1318.22,3,9.91,7522.8,62.77,
598,0,0,4,29.46,198.88,1996.17,0,0,198.88,198.88,4,4,29.46,29.46,1996.17,1996.17,0,0,,,,0,198.88,4,29.46,1996.17,0,
599,3,12.83,3,12.83,72.71,2993.76,3,3,72.71,72.71,3,3,12.83,12.83,2993.76,2993.76,12.83,12.83,,,,3,72.71,3,12.83,2993.76,12.83,
600,2,8.18,9,36.79,102.2,2959.81,2,2,102.2,102.2,9,9,36.79,36.79,2959.81,2959.81,8.18,8.18,,,,2,102.2,9,36.79,2959.81,8.18,
601,3,24.08,NA,NA,88.3,NA,3,3,88.3,88.3,0,8,0,3.91,2246.14,4681.09,24.08,24.08,,,,3,88.3,0,0,2246.14,24.08,
602,68,61.46,60,54.23,2078.85,5569.51,68,68,2078.85,2078.85,60,60,54.23,54.23,5569.51,5569.51,61.46,61.46,,,,68,2078.85,60,54.23,5569.51,61.46,
603,1,6.95,6,41.69,62.53,5822.68,1,1,62.53,62.53,6,6,41.69,41.69,5822.68,5822.68,6.95,6.95,,,,1,62.53,6,41.69,5822.68,6.95,
604,1,4.64,0,0,427.27,4230.91,1,1,427.27,427.27,0,0,0,0,4230.91,4230.91,4.64,4.64,,,,1,427.27,0,0,4230.91,4.64,
605,4,16.02,47,188.27,348.5,3633.23,4,4,348.5,348.5,47,47,188.27,188.27,3633.23,3633.23,16.02,16.02,,,,4,348.5,47,188.27,3633.23,16.02,
606,20,77.9,21,81.8,1336.03,10571.42,20,20,1336.03,1336.03,21,21,81.8,81.8,10571.42,10571.42,77.9,77.9,,,,20,1336.03,21,81.8,10571.42,77.9,
607,62,59.88,9,8.69,435.6,4114.51,62,62,435.6,435.6,9,9,8.69,8.69,4114.51,4114.51,59.88,59.88,,,,62,435.6,9,8.69,4114.51,59.88,
608,1,7.29,1,7.29,196.79,4810.5,1,1,196.79,196.79,1,1,7.29,7.29,4810.5,4810.5,7.29,7.29,,,,1,196.79,1,7.29,4810.5,7.29,
609,339,89.88,249,66.02,1304.78,6544.31,339,339,1304.78,1304.78,249,249,66.02,66.02,6544.31,6544.31,89.88,89.88,,,,339,1304.78,249,66.02,6544.31,89.88,
610,8,16.31,3,6.11,313.89,2631.36,8,8,313.89,313.89,3,3,6.11,6.11,2631.36,2631.36,16.31,16.31,,,,8,313.89,3,6.11,2631.36,16.31,
611,9,26.22,0,0,1678.08,4253.46,9,9,1678.08,1678.08,0,0,0,0,4253.46,4253.46,26.22,26.22,,,,9,1678.08,0,0,4253.46,26.22,
612,2,11.19,0,0,151.13,1354.53,2,2,151.13,151.13,0,0,0,0,1354.53,1354.53,11.19,11.19,,,,2,151.13,0,0,1354.53,11.19,
613,3,7.48,1,2.49,184.39,2554.01,3,3,184.39,184.39,1,1,2.49,2.49,2554.01,2554.01,7.48,7.48,,,,3,184.39,1,2.49,2554.01,7.48,
614,3,16.65,2,11.1,127.65,3446.55,3,3,127.65,127.65,2,2,11.1,11.1,3446.55,3446.55,16.65,16.65,,,,3,127.65,2,11.1,3446.55,16.65,
615,4,21.14,18,95.15,375.3,5079.82,4,4,375.3,375.3,18,18,95.15,95.15,5079.82,5079.82,21.14,21.14,,,,4,375.3,18,95.15,5079.82,21.14,
616,33,33.62,28,28.53,223.14,5388.97,33,33,223.14,223.14,28,28,28.53,28.53,5388.97,5388.97,33.62,33.62,,,,33,223.14,28,28.53,5388.97,33.62,
617,3,8.74,2,5.82,58.24,1243.34,3,3,58.24,58.24,2,2,5.82,5.82,1243.34,1243.34,8.74,8.74,,,,3,58.24,2,5.82,1243.34,8.74,
618,12,88.53,4,29.51,1032.91,5267.82,12,12,1032.91,1032.91,4,4,29.51,29.51,5267.82,5267.82,88.53,88.53,,,,12,1032.91,4,29.51,5267.82,88.53,
619,0,0,0,0,566.68,2172.27,0,0,566.68,566.68,0,0,0,0,2172.27,2172.27,0,0,,,,0,566.68,0,0,2172.27,0,
620,17,97.27,19,108.71,457.72,8759.58,17,17,457.72,457.72,19,19,108.71,108.71,8759.58,8759.58,97.27,97.27,,,,17,457.72,19,108.71,8759.58,97.27,
621,10,92.17,0,0,645.16,1004.61,10,10,645.16,645.16,0,0,0,0,1004.61,1004.61,92.17,92.17,,,,10,645.16,0,0,1004.61,92.17,
622,4,27.37,13,88.94,485.77,6499.73,4,4,485.77,485.77,13,13,88.94,88.94,6499.73,6499.73,27.37,27.37,,,,4,485.77,13,88.94,6499.73,27.37,
623,0,0,1,8.05,209.22,1335.8,0,0,209.22,209.22,1,1,8.05,8.05,1335.8,1335.8,0,0,,,,0,209.22,1,8.05,1335.8,0,
624,2,18.73,1,9.36,280.93,11021.63,2,2,280.93,280.93,1,1,9.36,9.36,11021.63,11021.63,18.73,18.73,,,,2,280.93,1,9.36,11021.63,18.73,
625,2,11.48,8,45.93,281.32,4638.88,2,2,281.32,281.32,8,8,45.93,45.93,4638.88,4638.88,11.48,11.48,,,,2,281.32,8,45.93,4638.88,11.48,
626,2,14.27,2,14.27,99.9,1705.44,2,2,99.9,99.9,2,2,14.27,14.27,1705.44,1705.44,14.27,14.27,,,,2,99.9,2,14.27,1705.44,14.27,
627,8,25.07,14,43.88,316.55,6255.88,8,8,316.55,316.55,14,14,43.88,43.88,6255.88,6255.88,25.07,25.07,,,,8,316.55,14,43.88,6255.88,25.07,
628,1,8.47,2,16.95,355.9,1491.4,1,1,355.9,355.9,2,2,16.95,16.95,1491.4,1491.4,8.47,8.47,,,,1,355.9,2,16.95,1491.4,8.47,
629,1,4.97,1,4.97,29.8,1217.03,1,1,29.8,29.8,1,1,4.97,4.97,1217.03,1217.03,4.97,4.97,,,,1,29.8,1,4.97,1217.03,4.97,
630,0,0,12,83.73,286.09,4340.24,0,0,286.09,286.09,12,12,83.73,83.73,4340.24,4340.24,0,0,,,,0,286.09,12,83.73,4340.24,0,
631,0,0,2,8.04,44.22,2235.18,0,0,44.22,44.22,2,2,8.04,8.04,2235.18,2235.18,0,0,,,,0,44.22,2,8.04,2235.18,0,
632,NA,NA,0,0,NA,1960.9,0,9,223.06,453.49,0,0,0,0,1960.9,1960.9,0,13.67,,,,0,223.06,0,0,1960.9,0,
633,81,56.02,389,269.03,1627.33,5693.22,81,81,1627.33,1627.33,389,389,269.03,269.03,5693.22,5693.22,56.02,56.02,,,,81,1627.33,389,269.03,5693.22,56.02,
634,8,23.99,6,18,110.97,4975.71,8,8,110.97,110.97,6,6,18,18,4975.71,4975.71,23.99,23.99,,,,8,110.97,6,18,4975.71,23.99,
635,40,82.84,24,49.71,816.02,6677.3,40,40,816.02,816.02,24,24,49.71,49.71,6677.3,6677.3,82.84,82.84,,,,40,816.02,24,49.71,6677.3,82.84,
636,NA,NA,3,25.16,NA,2306.66,0,479,223.06,44.92,3,3,25.16,25.16,2306.66,2306.66,0,28.22,,,,0,223.06,3,25.16,2306.66,0,
637,0,0,0,0,138.91,2241.7,0,0,138.91,138.91,0,0,0,0,2241.7,2241.7,0,0,,,,0,138.91,0,0,2241.7,0,
638,4,35.55,1,8.89,177.73,5936.19,4,4,177.73,177.73,1,1,8.89,8.89,5936.19,5936.19,35.55,35.55,,,,4,177.73,1,8.89,5936.19,35.55,
639,2,14.28,0,0,585.46,6568.61,2,2,585.46,585.46,0,0,0,0,6568.61,6568.61,14.28,14.28,,,,2,585.46,0,0,6568.61,14.28,
640,NA,NA,17,48.96,NA,3591.18,0,3,223.06,166.15,17,17,48.96,48.96,3591.18,3591.18,0,17.69,,,,0,223.06,17,48.96,3591.18,0,
641,215,118.9,174,96.23,3255.71,12364.16,215,215,3255.71,3255.71,174,174,96.23,96.23,12364.16,12364.16,118.9,118.9,,,,215,3255.71,174,96.23,12364.16,118.9,
642,5,26.63,10,53.27,591.24,7995.1,5,5,591.24,591.24,10,10,53.27,53.27,7995.1,7995.1,26.63,26.63,,,,5,591.24,10,53.27,7995.1,26.63,
643,11,33.8,19,58.38,577.61,8249.35,11,11,577.61,577.61,19,19,58.38,58.38,8249.35,8249.35,33.8,33.8,,,,11,577.61,19,58.38,8249.35,33.8,
644,7,49.28,1,7.04,288.65,2970.99,7,7,288.65,288.65,1,1,7.04,7.04,2970.99,2970.99,49.28,49.28,,,,7,288.65,1,7.04,2970.99,49.28,
645,24,118.01,12,59,1607.83,11977.58,24,24,1607.83,1607.83,12,12,59,59,11977.58,11977.58,118.01,118.01,,,,24,1607.83,12,59,11977.58,118.01,
646,39,64.56,NA,NA,736.68,NA,39,39,736.68,736.68,0,7,0,35.8,2246.14,2574.6,64.56,64.56,,,,39,736.68,0,0,2246.14,64.56,
647,23,49.58,39,84.06,581.98,5701.29,23,23,581.98,581.98,39,39,84.06,84.06,5701.29,5701.29,49.58,49.58,,,,23,581.98,39,84.06,5701.29,49.58,
648,3,19.13,1,6.38,44.64,4591.25,3,3,44.64,44.64,1,1,6.38,6.38,4591.25,4591.25,19.13,19.13,,,,3,44.64,1,6.38,4591.25,19.13,
649,1,8.34,0,0,141.75,3985.66,1,1,141.75,141.75,0,0,0,0,3985.66,3985.66,8.34,8.34,,,,1,141.75,0,0,3985.66,8.34,
650,98,144.36,11,16.2,2264.09,11491.32,98,98,2264.09,2264.09,11,11,16.2,16.2,11491.32,11491.32,144.36,144.36,,,,98,2264.09,11,16.2,11491.32,144.36,
651,28,51.55,13,23.93,1818.82,10855.84,28,28,1818.82,1818.82,13,13,23.93,23.93,10855.84,10855.84,51.55,51.55,,,,28,1818.82,13,23.93,10855.84,51.55,
652,9,14.85,17,28.04,138.56,3294.13,9,9,138.56,138.56,17,17,28.04,28.04,3294.13,3294.13,14.85,14.85,,,,9,138.56,17,28.04,3294.13,14.85,
653,7,30.73,0,0,122.9,3256.96,7,7,122.9,122.9,0,0,0,0,3256.96,3256.96,30.73,30.73,,,,7,122.9,0,0,3256.96,30.73,
654,4,20.24,3,15.18,75.88,1365.91,4,4,75.88,75.88,3,3,15.18,15.18,1365.91,1365.91,20.24,20.24,,,,4,75.88,3,15.18,1365.91,20.24,
655,1,7.92,0,0,324.52,2857.37,1,1,324.52,324.52,0,0,0,0,2857.37,2857.37,7.92,7.92,,,,1,324.52,0,0,2857.37,7.92,
656,2,18.2,7,63.69,1264.79,5996.36,2,2,1264.79,1264.79,7,7,63.69,63.69,5996.36,5996.36,18.2,18.2,,,,2,1264.79,7,63.69,5996.36,18.2,
657,3,8.36,7,19.5,559.86,5439.81,3,3,559.86,559.86,7,7,19.5,19.5,5439.81,5439.81,8.36,8.36,,,,3,559.86,7,19.5,5439.81,8.36,
658,0,0,0,0,21.66,2642.98,0,0,21.66,21.66,0,0,0,0,2642.98,2642.98,0,0,,,,0,21.66,0,0,2642.98,0,
659,3,16.46,NA,NA,389.55,NA,3,3,389.55,389.55,0,102,0,25.45,2246.14,1591.51,16.46,16.46,,,,3,389.55,0,0,2246.14,16.46,
660,1,7.24,0,0,188.13,1960.93,1,1,188.13,188.13,0,0,0,0,1960.93,1960.93,7.24,7.24,,,,1,188.13,0,0,1960.93,7.24,
661,1,7.7,4,30.81,169.44,5460.57,1,1,169.44,169.44,4,4,30.81,30.81,5460.57,5460.57,7.7,7.7,,,,1,169.44,4,30.81,5460.57,7.7,
